Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Sex is only a tool in love, not love itself.
John Banville, The Sea|Life, authentic life, is supposed to be all struggle, unflagging action and affirmation, but when I look back I see that the greater part of my energies was always given over to the simple search for shelter, for comfort, for, yes, I admit it, for cosiness. This is a surprising, not to say a shocking, realization. Before, I saw myself as something of a buccaneer, facing all-comers with a cutlass in my teeth, but now I am compelled to acknowledge that this was a delusion. To be concealed, protected, guarded, that is all I have truly wanted, to burrow down into a place of womby warmth and cower there, hidden from the sky’s indifferent gaze and the harsh air’s damagings. That is why the past is just such a retreat for me, I go there eagerly, rubbing my hands and shaking off the cold present and the colder future. And yet, what existence, really, does it have, the past? After all, it is only what the present was, once, the present that is gone, no more than that. And yet.
Robert Higgs|Consider intentions carefully. Karma gives a damn about ego, awards allegiance to none, and its justice is truly blind.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you don’t want to regret your life later, then begin to invest your time, begin to measure your life. Measure your life by the products and by the results you produce!
Gail Carriger, Heartless|To express oneself fluently involves more than simply speaking the language properly. It includes inflection, voice, posture, gestures, and clothing. All of these elements add up to an individual’s personal expression. They are the elements of style.
James W. Mercer, The Tsunami That Reshaped America|If such things were not so dangerous one would laugh. But one recognizes the technique. Such propaganda always begins with words, but soon it proceeds to deeds. When there are no facts to support lies, facts must be made.
Stephen Kinzer|I have some wonderful suits in my closet, a lovely car, some refined watches.
|Your dream is always counting on you not to ever lose hope, because its survival depends on your thoughts.
Al Franken|I love Stephen Colbert and Jon Stewart because they're bringing irony back into American humor, which is a delicious treat. The entire Colbert persona of being extreme right-wing when he's not at all is highly amusing. He does it so well, but sometimes a little too well. My wife is convinced he's completely that way.
Laura Kasischke, White Bird in a Blizzard|I can feel them. The babies. They're not crawling all over me. They're not vomiting in my hair or shrieking. They're doing perfectly normal baby things, and I'm keeping them alive. But I resent them. Their constancy, their intrusion on my relationship and my free time and my naps and my imagination and my heart. They've come too soon, and I can't do any of what I had planned. All I can do is survive.
Kamand Kojouri|Tell me where the swans go in the winterI need to know if the mute ones can sing.Tell me why stars fall from the skyI need to know if it is luck they bring.Tell me why feathers land near youI need to know if you've injured your wing.Now, tell me where you end, my angelFor I no longer know where I begin.
Sarah Parcak|I never feel more alone than when I'm traveling. Alone and, to some extent, helpless. The world expects a certain level of competence and can be merciless when this expectation is unmet.
Brenda Joyce, An Impossible Attraction|A garden did not need people in order to be alive and natural. The flowers might have died, and the last leaves might be falling, but the space was still redolent with the odors of life. It contained a thousand reassurances that no matter what one person’s strife, the seasons continued their cycle.
Ford Madox Ford, No More Parades|Who can protect themselves from betrayal? The day your brother wakes up and plans to do you dirty, there's no defense against that.
Nathaniel Kahn|I know I should feel anger at my father for certain things. But since he died when I was 11, I never got to that point.
Sunday Adelaja|Life without knowing your destiny leads to “rat races”, depression and frustration, and attempt to commit suicide
Colleen Hoover|Sometimes two people have to fall apart, to realize how much they need to fall back together.
Kazuo Ishiguro, The Remains of the Day|For a great many people, the evening is the most enjoyable part of the day. Perhaps, then, there is something to his advice that I should cease looking back so much, that I should adopt a more positive outlook and try to make the best of what remains of my day. After all, what can we ever gain in forever looking back and blaming ourselves if our lives have not turned out quite as we might have wished?
