L.J. Vanier|Because the best gift in life, is just having someone to drink hot chocolate with
Rob McClure|There's a lot of information that has been in peoples' heads and hasn't gotten onto the Internet. Even as the Web has gotten really big, there's just been this gap. So we made Quora as a general place for people to share knowledge of all kinds.
Shani Struthers, The Runaway Year|To those of you who have lost your way, may my story serve as a reminder that life is a journey. The lessons we learn along the way are not for our sake alone. We are obligated to share them
Sydney J. Harris|Words, once they are printed, have a life of their own.
Sarah J. Maas, Tower of Dawn|A gift.A gift from a queen who had seen another woman in hell and thought to reach back a hand. With no thought of it ever being returned. A moment of kindness, a tug on a thread.
The Little Prince|One runs the risk of weeping a little, if one lets himself be tamed...
Christianity's Dangerous Idea: The Protestant Revolution: A History from the Sixteenth Century to the Twenty-First|Manz, formerly one of Zwingli's closest allies, held that there was no biblical warrant for infant baptism. Refusing to recant his views, he was tied up and drowned in the River Limmat.
Germany Kent|Because words have deep meaning, Tweets have power.
Rick Riordan, The House of Hades|Annabeth pressed her lips to Percy’s ear. “I love you.”She wasn’t sure he could hear her—but if they died, she wanted those to be her last words.
Sunday Adelaja|The answers to all questions of human society are in the lessons of human history, which are revealed in the Bible
Karen Joy Fowler, Sarah Canary|If we feel our way into the human secrets of the sick person, the madness also reveals its system, and we recognize in the mental illness merely an exceptional reaction to emotional problems which are not strange to us.--"The Content of the Psychoses
Stephen Richards|Giving materialistically is the soft option, but when you give from what you do for others then your reward is immeasurable contentment.
Andres Segovia|How you act, walk, look and talk is all part of Hip Hop culture. And the music is colorless. Hip Hop music is made from Black, brown, yellow, red and white.
James Hetfield|Stand up for your rights and be brave, and don't be intimidated. Read your Bible. That's really given me strength, and it will give you strength. Pray, and use God's name, Jehovah. And never tell a lie, ever.
charley sweeney|If you treat people to a vision of themselves, if you apparently overrate them, you make them become what they are capable of becoming.
Marcel Proust, Swann's Way|But at some point you have to make peace with what you were given and if God wanted me to be a shy girl with thick, dark hair, He would have made me that way, but He didn't Useful, then, might be to accept how I was made and embody myself fully therein.
Beatrix Potter|Believe there is a great power silently working all things for good, behave yourself and never mind the rest.
China Miéville|illustration  Speaking before the Marion Hobby Club Marion, OH 2013 This writer is looking for an agent.An old adage warns: If you don't know your history, you will be forever condemned to repeat it. Likewise, if you don't know your science fiction, and heed its warnings, you could condemn the Earth to future catastrophe.
Jazz Feylynn|Bring a torch, if you've got one. It's as dark as hell and stinks of something far worse than cheese.
Ana Claudia Antunes, A-Z of Happiness: Tips for Living and Breaking Through the Chain that Separates You from Getting That Dream Job|The beauty with modest smile, whose secrecy of silent love had just been stolen, beamed at this wonderful offer and she replenished herself with his love as a carefree child cossetted with luxurious warmth after a cold shower.
