S.A. Tawks, Misadventurous|Now comes the hard part. Peyton, Peyton, Peyton. Just say Peyton.
Anamika Mishra|Hapi?" I asked."Why, yes, I am happy!" Hapi beamed. "I'm always happy because I'm Hapi! Are you happy?"Zia frowned up at the giant. "Does he have to be so big?"The god laughed. Immediately he shrank down to human size, though the crazy cheerful look on his face was still pretty unnerving."Oh, Setne!" Hapi chuckled and pushed the ghost playfully. "I hate this guy. Absolutely despise him!"Hapi's smile became painfully wide. "I'd love to rip off your arms and legs, Setne. That would be amazing!"Setne ... drifted a little farther away from the smiling god."Oh!" Hapi clapped excitedly. "The world is going to end tomorrow. I forgot!""You'd never get to Memphis without my help. You'd get torn into a million pieces!"He seemed genuinely pleased to share that news.
Shannon Celebi|I long for some connection, to the real and those who love them, and hope that my fiction can reach beyond the veil, that I might touch someone and make them feel something…or something.
Frieda Robson|To march over dead man, to hear without concern the groans of the wounded, I say few men can stand such scenes unless steeled by habit or fortified by military pride.
Auliq-Ice|Always count the costs before starting any journey, and never take a step without finding its costs.
Israelmore Ayivor, Dream Big!: See Your Bigger Picture!|Positive people know what they are about to do and why. Because of this, when they are being haunted by the premature quest to give up, they focus their minds onto the joy of accomplishing their pursuits.
Emma Thompson|I think books are like people, in the sense that they'll turn up in your life when you most need them.
Téa Obreht, The Tiger's Wife|My grandfather would pet the dog, and, in a voice that made him sound like some kind of children's program puppet, he would say: "You're a dog! You're a dog! Where are you? You're a dog!" and the dog's tongue would drop out of its mouth and it would start keening. After a few hours of this, I said, "Jesus Grandpa, I get it, he's a dog," not knowing that, just a few years later, I would be reminding every dog I met on the street that it was a dog, and asking it where it was.
Stephen A. Diamond, Anger, Madness, and the Daimonic|But now the world breaks in on us, the world is shocked, the world looks upon our idyll as madness. The world maintains that no rational man or woman would have chosen this way of life - therefore, it is madness. Alone I confront them and tell them that nothing could be saner or truer! What do people really know about life? We fall in line, follow the pattern established by our mentors. Everything is based on assumptions; even time, space, motion, matter are nothing but supposition. The world has no new knowledge to impart; it merely accepts what is there.
Alain de Botton, The Pleasures and Sorrows of Work|What a peculiar civilisation this was: inordinately rich, yet inclined to accrue its wealth through the sale of some astonishingly small and only distantly meaningful things, a civilisation torn and unable sensibly to adjudicate between the worthwhile ends to which money might be put and the often morally trivial and destructive mechanisms of its generation.
Jill Alexander Essbaum|Even the ugliest swan is still more beautiful than the loveliest crown on the fence, Anna thought
Debbie Ford|I know that I do have influence over the people who watch me, and it's quite a pressure. I have to stay positive, and while I would never use the words 'role model', I am mindful of the responsibilities that come with a substantial viewership.
Ramakrishna, Sayings of Sri Ramakrishna|God has revealed to me that only the Paramatman, whom the Vedas describe as the Pure Soul, is as immutable as Mount Sumeru, unattached, and beyond pain and pleasure. There is much confusion in this world of His maya. One can by no means say that 'this' will come after 'that' or 'this' will produce 'that'.
Fay Weldon, Female Friends|Perhaps Choices spring up when history makes way for them. Perhaps they will grow, like legends upon dead conquerors.
Zoe Chant, The Jaguar's Beach Bride|Brennan's inner jaguar roared to life then with the need to protect this woman- protect my mate, must protect my mate it snarled.
