Michael Bassey Johnson|Music replays the past memories, awaken our forgotten worlds and make our minds travel.
Lisa Wingate, The Sea Keeper's Daughters|America acknowledged the greatness of Confucius through a trio of ancient lawgivers—Moses flanked by Confucius to his right and Solon on his left—on the monument to “Justice, the Guardian of Liberty” displayed on the eastern pediment of the U.S. Supreme Court Building in Washington, D.C.
Norman Davies|I believe that if we really want human brotherhood to spread and increase until it makes life safe and sane, we must also be certain that there is no one true faith or path by which it may spread.
Brynn Kelly, Edge of Truth|I feel sorry for you, Detective Esteban. Because I'm all out of patience, and you're all out of time. I'm sure we'll see each other again someday. In Hell. Save a seat for me.
Nikki Rowe|Enlightenment isn't a vast field of open opportunities that will change your life, actually it is but first it will destruct anything in its path unattached to the version of you that is awake. That's the part no one prepares for, it will break you to the core but the break will make you something greater then you ever thought imagineable.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Not matter what your sacred or religious book is, it's not how well you know the book, it's how well you're in alignment with the author.
Lailah Gifty Akita, Think Great: Be Great!|Happiness is a state of mental,physical and spiritual well-being. Think pleasantly,engaged sport and read daily to enhance your well-being.
Lois Greiman, Buffalo Knees|He looked from His heavens and saw it was good, the toes and the crows all looked like they should. The bunny was quick, the finch bright as a daisy, the owl flew at night, and the tortoise was lazy.
Rick Riordan, The Son of Neptune|Boys are usually forbidden to have any contact with the Hunters. The last one to see this camp…” She looked at Zoe. “Which one was it?”That boy in Colorado,” Zoe said. “You turned him into a jackalope.”Ah, yes.” Artemis nodded, satisfied. “I enjoy making jackalopes…
Debasish Mridha|When I try to write in English, I feel like a bird without wings still trying to fly.
Bill Bryson, Shakespeare: The World as Stage|For in that sleep of death what dreams may come When we have shuffled off this mortal coil,Must give us pause
David McCullough, 1776|Indeed, bribery, favoritism, and corruption in a great variety of forms were rampant not only in politics, but in all levels of society.
Bill Courtney, Against the Grain: A Coach's Wisdom on Character, Faith, Family, and Love|Learn from your experiences and past mistakes, assimilate them and convert them to formulas to achieve sustenance first , and then work your way to success to be the leaders in the market.
G.K. Chesterton, The Man Who Was Thursday|Later, when she sees the photographs for the first time, she will be surprised at how calm her face looks - how steady her gaze, how erect her posture. In the picture her eyes will be slightly closed, and there will be a shadow on her neck. The shawl will be draped around her shoulders, and her hands will rest in her lap. In this deceptive photograph, she will look a young woman who is not at all disturbed or embarrassed, but instead appears to be rather serious. And she wonders if, in its ability to deceive, photography is not unlike the sea, which may offer a benign surface to the observe even as it conceals depths and current below.
Balroop Singh|They live in human memory, man. That's what keeps them alive.
Iain M. Banks|January took a breath, realizing it had been a cause from her holding it in, trying to work through the puzzle she faced. If he’s a Ghost, why was she sent on a mission to kill him?
Taylor Patton|Leave the hush to those who love like apes because together, you and I make vulgar sounds like a fervent sojourn in paradise.
HonouriaBread|The sky inside my head never turns blue. It if forced to stay red. By the demon, who is yellow inside me.
Kelsey Brickl, Wolves and Urchins: The Early Life of Inspector Javert|Government — or an administration — isn’t really the sum of its parts like people think, because all of those parts are competing for their own interests and pulling in opposite directions at the same time. It’s like an organism at war with itself.
