P.C. Cast|Damien has died and gone straight to gay boy heaven,' Shaunee said...
Steven Redhead, Keys to Creating Your Reality|Don't become a prisoner of your own reality, set yourself free by creating a life worth living.
Leon Trotsky, Terrorism and Communism: A Reply to Karl Kautsky|My belief assumed a form that it commonly assumes among the educated people of our time. This belief was expressed by the word "progress." At the time it seemed to me that this word had meaning. Like any living individual, I was tormented by questions of how to live better. I still had not understood that in answering that one must live according to progress, I was talking just like a person being carried along in a boat by the waves and the wind; without really answering, such a person replies to the only important question-"Where are we to steer?"-by saying, "We are being carried somewhere.
Serj Tankian|Cause I am strong and I can prove itAnd I got my dreams to see me throughIt's just a mountain, I can move itAnd with faith enough there's nothing I can't doAnd I can see the light of a clear blue morningAnd I can see the light of brand new dayI can see the light of a clear blue morningAnd everything's gonna be all rightIt's gonna be okay [lyrics from "Light of a Clear Blue Morning"]
Kelley Armstrong, Visions|Stray cats are like two-timing men. He got tired of you and took off. He doesn't find anyone new? He'll come slinking back. By then, if you're smart, you'll have decided you're better without him.
Elizabeth George, Loving God with All Your Mind|When we view ourselves through the lens of God's Word, we better understand God's love for us and the worth we have in His eyes.
Darrell Calkins, Re:|If I were to make a list of focus for well-being, I would begin with lifestyle (the totality of one’s circumstance and how that is engaged, including job and relationships, and proximity to nature), attending to the physical functions correctly (posture, breathing, exercise, food, rest, etc.), consistent expression of your natural range of qualities, working and playing well and hard, and designing things so that you are doing what compels you. Obviously, you can’t give this list out as a prescription for physical problems and diseases, but then again, it is probably the correct prescription. If one were to follow it, any specific problem, even extreme, would almost certainly resolve itself.
William Giraldi, Busy Monsters|Be sweet to one another. Stay in this beauty and brawl against the world's power of pulling apart. Recall Old Testament terminology: covenant, sacred, sacrifice. And mind always that Adam wasn’t a schlep fruitily duped by Eve. He turned his back on God because he knew that a paradise without her was no paradise at all.
Mario Botta|Time travel used to be thought of as just science fiction, but Einstein's general theory of relativity allows for the possibility that we could warp space-time so much that you could go off in a rocket and return before you set out.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|When having lunch or dinner at a long rectangular table, I prefer to take a middle chair so that I can turn to my left or to my right to make meaningful conversation with the people in attendance. When I have been seated at the very end, it can prove to be difficult to speak, hear, and connect with everyone there. Think ahead, and whenever possible, put yourself in the middle of the action!
David Suzuki|Living on through loss seems by contrast as bad or worse; it means experiencing environmental deterioration, steady decline in human well-being, and increasing constraint on future human action consciously and slowly while realizing that they are likely to continue for generations after one is gone.
Ursula K. Le Guin, The Left Hand of Darkness|Thomas jabbed a thumb over his shoulder and raised his eyebrows."You met our new friend?" Miho responded, a smirk flashing across his face. "Real piece of work, this guy. I gotta get me one of those shuck suits. Fancy stuff.""Am I awake?" Thomas asked."You're awake. Now eat—you look horrible. Almost as bad as Rat Man over there, reading his book.
Frederic Manning|We are here in a wood of little beeches: And the leaves are like black lace Against a sky of nacre. One bough of clear promise Across the moon. It is in this wise that God speaketh unto me. He layeth hands of healing upon my flesh, Stilling it in an eternal peace, Until my soul reaches out myriad and infinite hands Toward him, And is eased of its hunger. And I know that this passes: This implacable fury and torment of men, As a thing insensate and vain: And the stillness hath said unto me, Over the tumult of sounds and shaken flame, Out of the terrible beauty of wrath, I alone am eternal. One bough of clear promise Across the moon
