Matthew Syed|If you list down whatever you didn’t get to do, then whatever you did won’t feel like it mattered.
Laurie Halse Anderson, Speak|My parents didn't raise me to be religious. The closest we come to worship is the Trinity of Visa, Mastercard, and American Express. I think the Merryweather cheerleaders confuse me because I missed out on Sunday School. It has to be a miracle. There is no other explanation. How else could they sleep with the football team on Saturday night and be reincarnated as virginal goddesses on Monday?
John Ajvide Lindqvist, Let the Right One In|What he was scared of was not that maybe she was a creature who survived by drinking other people's blood. No, it was that she might push him away.
David Goodis, Dark Passage|He told himself she wasn’t really such a bad person, she was just a pest, she was sticky, there was something misplaced in her make-up, something that kept her from fading clear of people when they wanted to be in the clear.
Erin Hunter|Maybe you had to be dying to finally get to do what you wanted.I fidgeted around with the puzzle pieces for a while longer, but I wasn't lucky. Nothing seemed to fit without a whole lot of work.Then I had this thought: What if it was enough to realize that you would die someday, that none of this would go on forever? Would that be enough?
Hunter S. Thompson, The Rum Diary|She laughed. 'It won't last. Nothing lasts. But I'm happy now.''Happy,' I muttered, trying to pin the word down. But it is one of those words, like Love, that I have never quite understood. Most people who deal in words don't have much faith in them and I am no exception--especially the big ones like Happy and Love and Honest and Strong. They are too elusive and far too relative when you compare them to sharp, mean little words like Punk and Cheap and Phony. I feel at home with these, because they're scrawny and easy to pin, but the big ones are tough and it takes either a priest or a fool to use them with any confidence.
Kim Myungsoo|It's not that I can't express myself,it's that I still feel present when I'm not expressing myself.
Roxane Gay, Bad Feminist|... just one more reminder that the rules are always different for girls, no matter who they are and no matter what they do.
Erin McCarthy, Hot Finish|This was fun. We should find out we're still married more often.""Why, so every day can be a special new plunge into hell?""Nobody I'd rather burn with than you, babe.
Billy Graham, Billy Graham in Quotes|When we all stand before the judgment seat of Christ, we will have our true motives revealed.
Victoria H. Smith, Holiday Fling|My family stood right in front of me, talking and smiling. I felt like I was viewing one of those cheesy ad shots for camera companies. The ones I looked at and thought, fake, because no one's family ever looked that happy. Yet, the perfect family moment bloomed right before my eyes, and I wasn't a part of it.
Doug Ducey|Among my dad's generation, when you gave another man a pocketknife as a gift, it was a show of respect. I'll still give someone the knife out of my pocket.
Peter Ackroyd, Hawksmoor|Reader one moment stop and think,That I am in eternity and you are on the brink.
Thomas Hardy, Jude the Obscure|I had a neat stock of fixed opinions, but they dropped away one by one; and the further I get the less sure I am. I doubt if I have anything more for my present rule of life than following inclinations which do me and nobody else any harm, and actually give pleasure to those I love best. There, gentlemen, since you wanted to know how I was getting on, I have told you. Much good may it do you! I cannot explain further here. I perceive there is something wrong somewhere in our social formulas: what it is can only be discovered by men or women with greater insight than mine--if, indeed, they ever discover it-- at least in our time. 'For who knoweth what is good for man in this life?--and who can tell a man what shall be after him under the sun?
Aimee Bender, An Invisible Sign of My Own|The world can ask you to participate, but it's a day-today decision if you want to agree to that proposal.
Stephen King|When you sit down to write, write. Don't do anything else except go to the bathroom, and only do that if it absolutely cannot be put off.
E.L. James, Fifty Shades of Grey|Sometimes I wonder if there's something wrong with me. Perhaps I've spent too long in the company of my literary romantic heroes, and consequently my ideals and expectations are far too high.
