Gautama Buddha|If you do not change direction, you may end up where you are heading
Diana Richardson, Tantric Sex for Men: Making Love a Meditation|Most partners do not have sex frequently enough for optimum mental, physical, and emotional health.
Hugh MacLeod, Ignore Everybody: and 39 Other Keys to Creativity|They're only crayons. You didn't fear them in Kindergarten, why fear them now?
Debasish Mridha|You may not find the opportunity to succeed, but you can always find the opportunity to serve. Then serve to succeed.
Natasha Tsakos|When we know that it's a planet just like this one, only with a better climate and worse people--when we know they're all propertarians, and fight wars, and make laws, and eat while other starve, and anyhow are all getting older and having bad luck and getting rheumatic knees and corns on their toes just like people there...when we know all that, why does it still look so happy--as if life there must be happy?..."... "If you can see the whole thing," he said, "it seems that it's always beautiful. Planets, lives....But close up, a world's all dirt and rocks. And day to day, life's a hard job, you get tired, you lose the pattern. You need distance, interval. The way to see how beautiful the art is, is to see it as the moon. They way to see how beautiful life is, is from the vantage point of death.
Kathy McCullough, Who Needs Magic?|I may not hate all of the people all of the time, but I hate all of them some of the time, and I hate some of them all of the time.
Christa Wolf, City of Angels or Overcoat of Dr. Freud|She ordered a martini and encouraged me to, but said she couldn't drink it with her medication. She just liked seeing it in front of her, like the old days, all set to do its little magic.
Sarah Pinborough, Behind Her Eyes|Secrets, secrets, secrets. People are filled to the brim with them if you look closely.
Conrad Veidt|Like hatred, jealousy is forbidden by the laws of life because it is essentially destructive.
Sue Grafton|Take a course in good water and air; and in the eternal youth of Nature you may renew your own. Go quietly, alone; no harm will befall you.
Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life|You can only build on success, but to do this you have to be willing to let go of your last success and use it as a stepping stone for your next achievement.
Stan Slap|A manager’s emotional commitment is worth more than their financial, intellectual and physical commitment combined.
Tracey Reddick|If you can't talk about, write about it!
Daphne Rose Kingma|Language does have the power to change reality. Therefore, treat your words as the mighty instruments they are - to heal, to bring into being, to remove, as if by magic, the terrible violations of childhood, to nurture, to cherish, to bless, to forgive - to create from the whole cloth of your soul, true love.
Coco Chanel|She let her mind drift, thinking about new lingerie designs, wishing she'd brought along her sketchpad. Inspiration could strike at the most inconvenient times--in the shower, in the car, on this road--but she was grateful it was with her again, an old companion with whom she was getting reacquainted, pleased to find they could take up where they'd left off, as if there'd been no estrangement at all.
Hattie Morahan|As a partner in a firm full of women who work outside of the home as well as stay at home mothers, all with plenty of children, gender equality is not a talking point for me. It is an issue I live every day.
Sarah Mlynowski, Ten Things We Did|If I had a reader and he had read all I have written so far of my adventures, there would be certainly no need to inform him that I am not created for any sort of society. The trouble is I don't know how to behave in company. If I go anywhere among a great many people I always have a feeling as though I were being electrified by so many eyes looking at me. It positively makes me shrivel up, physically shrivel up, even in such places as the theatre, to say nothing of private houses. I did not know how to behave with dignity in these gambling saloons and assemblies; I either was still, inwardly upbraiding myself for my excessive mildness and politeness, or I suddenly got up and did something rude. And meanwhile all sorts of worthless fellows far inferior to me knew how to behave with wonderful aplomb-- and that's what really exasperated me above everything, so that I lost my self-possession more and more. I may say frankly, even at that time, if the truth is to be told, the society there, and even winning money at cards, had become revolting and a torture to me. Positively a torture. I did, of course, derive acute enjoyment from it, but this enjoyment was at the cost of torture.
