John Irving, A Prayer for Owen Meany|Great words, arranged with cunning and artistry, could change the perceived world for some readers
Michel Onfray, Atheist Manifesto: The Case Against Christianity, Judaism, and Islam|The new atheists show a disturbing lack of understanding of or concern about the complexity and ambiguity of modern experience, and their polemic entirely fails to mention the concern for justice and compassion that, despite their undeniable failings, has been espoused by all three of the monotheisms. Religious fundamentalists also develop an exagerrated view of their enemy as the epitome of evil. This tendency makes critique of the new atheists too easy. They never discuss the work of such theologians as Bultmann or Tillich, who offer a very different view of religion and are closer to mainstream tradition than any fundamentalist. Unlike Feurerbach, Marx and Freud, the new atheists are not theologically literate. As one of their critics has remarked, in any military strategy it is essential to confront the enemy at its strongest point; failure to do so means that their polemic remains shallow and lacks intellectual depth. It is also morally and intellectually conservative. Unlike Feurerback, Marx, Ingersoll or Mill, these new Atheists show little concern about the poverty, injustice and humiliation that has inspired many of the atrocities they deplore; they show no yearning for a better world. Nor, like Nietzsche , Sartre or Camus, do they compel their readers to face up to the pointlessness and futility that ensue when people lack the resources to create a sense of meaning. They do not appear to consider the effect of such nihilism on people who do not have privileged lives and absorbing work.
Rakul Preet Singh|Happiness, true happiness, is an inner quality. It is a state of mind. If your mind is at peace, you are happy. If your mind is at peace, but you have nothing else, you can be happy. If you have everything the world can give - pleasure, possessions, power - but lack peace of mind, you can never be happy.
Walt Whitman|Yes, I still believe in God. That hasn't changed. I just needed some time away.”“Ah.” Inspector Carrola clicked his tongue. “For your sake, I hope that God does not need some time away from you.
W. Somerset Maugham, Theatre|It is in the twenties that the actual momentum of life begins to slacken, and it is a simple soul indeed to whom as many things are significant and meaningful at thirty as at ten years before. At thirty an organ-grinder is a more or less moth-eaten man who grinds an organ — and once he was an organ-grinder! The unmistakable stigma of humanity touches all those impersonal and beautiful things that only youth ever grasps in their impersonal glory. A brilliant ball, gay with light romantic laughter, wears through its own silks and satins to show the bare framework of a man-made thing — oh, that eternal hand!— a play, most tragic and most divine, becomes merely a succession of speeches, sweated over by the eternal plagiarist in the clammy hours and acted by men subject to cramps, cowardice, and manly sentiment.
Shirley Jackson, The Lottery|I blush, I burn, I shudder, while I pen the damnable atrocity.
John Rampton|I don't read good books anymore, it seems; I just buy them and put them on the shelf and every now and then walk over and pet them. I'm like the optimistic dieter who fills her closet with clothes two sizes too small and dreams of the day she can wear them. I know just what I want to do when I retire.
Erin Hunter, Code of the Clans|I wonder if he'll ever see the truth in my own heart: that, whatever Dustpelt says, however much Fireheart breaks the warrior code, I love him more that I could imagine loving any other cat. And if Fireheart knew, would he love me, too?- Sandstorm
Vironika Tugaleva|If you do not respect your own wishes, no one else will. You will simply attract people who disrespect you as much as you do.
Sarah Kay, No Matter the Wreckage|Trees are metaphorical. Their magic is that they bring beauty, comfort, and peace to the land. They celebrate life itself.
James     Baldwin, Giovanni's Room|They'd never been lovers, of course, not in the physical sense. But they'd been lovers as most of us manage, loving through expressions and gestures and the palm set softly upon the bruise at the necessary moment. Lovers by inclination rather than by lust. Lovers, that is, by love.
James Burnham, The Machiavellians, Defenders of Freedom|...The arbitrary power of the Government is unlimited, and unexampled in history; freedom of the Press, of opinion and of movement are as thoroughly exterminated as though the proclamation of the Rights of Man had never been.
Alexander McCall Smith, Dream Angus: The Celtic God of Dreams|My ambition is not to leave behind me a pile of money for my heirs to quarrel about, but to find out what there is of interest in this world before I cross the border and begin to explore the other world.
Ernest Agyemang Yeboah|By following what they believe are stick orders from the top, many typical managers tend to concentrate on working within budget and resource constraint --- thereby developing a boxed-in, "can't do" mindset.
Stephen Spender|Dreams do come true, if we only wish hard enough, You can have anything in life if you will sacrifice everything else for it.
Charles de Lint|Taft was Roosevelt's handpicked successor. I didn't know how deep the friendship was between the two men until I read their almost four hundred letters, stretching back the to early '30s. It made me realize the heartbreak when they ruptured was much more than a political division.
