Sherilyn Fenn|Today I trust my instinct, I trust myself. Finally.
James A. Chu|I knew that my trauma, no matter what it was, was not unique. I knew that pain was the universal driving force of so many people—I knew that only in the details was it specific, and I just found it urgent to cut right to the chase and get right to the point.
Erica Sehyun Song|He is only fifteen! Does she really think he is prepared for marriage, especially with his intellectual range of a teacup?
Megan McKenna, The New Stations of the Cross: The Way of the Cross According to Scripture|All my contemporaries—hundred-and-fivers or convicts—will tell you how we livedin barely sentient fear, raisingchildren for the executioner,prison, or the torture chamber.
Carlos Ruiz Zafón, The Shadow of the Wind|If you really want to possess a woman, you must think like her, and the first thing to do is win over her soul. The rest, that sweet, soft wrapping that steals away your senses and your virtue, is a bonus.
Mikhail Bulgakov, Heart of a Dog|And I will go on criticising Socialism, and opposing Socialism because it is bad for Britain (...) It’s the Labour Government that have brought us record peace-time taxation. They’ve got the usual Socialist disease – they’ve run out of other people’s money.
Eden Phillpotts|In the marshes the buckbean has lifted its feathery mist of flower spikes above the bed of trefoil leaves. The fimbriated flowers are a miracle of workmanship and every blossom exhibits an exquisite disorder of ragged petals finer than lace. But one needs a lens to judge of their beauty: it lies hidden from the power of our eyes, and menyanthes must have bloomed and passed a million times before there came any to perceive and salute her loveliness. The universe is full of magical things patiently waiting for our wits to grow sharper.
Eve Ensler, The Vagina Monologues|...to speak of them out loud, to speak of their hunger and pain and loneliness and humour, to make them visible so that can not be ravaged in the dark without great consequence.
Susan Cain, Quiet: The Power of Introverts in a World That Can't Stop Talking|Unlike a fountain that circulates the same water in an enclosed, perpetually recycling system, a human being circulates thoughts in an unlimited reservoir of self.Don't limit yourself to being a mere fountain when you contain an ocean.
Joan Erickson|Vital lives are about action. You can't feel warmth unless you create it, can't feel delight until you play, can't know serendipity unless you risk.
Siri Hustvedt, A Woman Looking at Men Looking at Women: Essays on Art, Sex, and the Mind|There is no perception without memory. But good art surprise us. Good art reorients our expectations, forces us to break the pattern, to see in a new way.
Matthew Lesko|The kingdom of God is a theocracy. And as it is the only form of government which will redeem and save mankind, it is necessary that every soul should be rightly and thoroughly instructed in regard to its nature and general characteristics.
Agatha Christie|We do not believe in murder! We believe in convenience in our careers, in our cuisine, in our kills, and in our definitions.
Barbara Neely|This writing thing, it ain’t like that hip hop shit, City. For li’l niggas like you,” he told me, “this writing thing is like a gotdamn porta potty. It’s one li’l nigga at a time, shitting in the toilet, funking up the little space he get. And you shit a regular shit or a classic shit. Either way,” he said. “City, you gotta shit classic, then get your black ass on off the pot.” He actually grabbed my hand. “You probably think I’m hyping you just for the money. It ain’t just about the money. It’s really not. It’s about doing whatever it takes for you to have your voice heard. So I don’t know what you’re writing in that book you always carrying around, but it better be classic because you ain’t gonna get no two times to get it right, you hear me?
Livy|All the religions of the world, while they may differ in other respects, unitedly proclaim that nothing lives in this world but Truth.
B.A. Paris, Behind Closed Doors|Loneliness is not the perception of leading an isolated life, but it is an inability to get any caring eyes, especially when you want someone to care for you. It is also sense of being lost, even empty you from inside. When you burst into crying, you realise that the whole world is sleeping peacefully with both eyes and ears closed.
Mahatma Gandhi|Faith, there hath been many great men that have flattered the people who ne'er loved them.
Stacey Kade, The Rules|I'm not sure what a good person is, exactly. On the one hand, it could be someone who always play by the rules. But someone can follow the rules and still be a real jerk, you know? In fact, some of the biggest idiots I know are people who follow the rules, usually because they make you feel like crap when you don't.
