Nelson Rodrigues|The Human Being, as we imagine it, does not exist.
Anne Lamott, Imperfect Birds|With THC in your system, you don't dream. And you need to. Otherwise it is like losing one of your senses. Dreams are part of your wholeness. ... when you're dreaming, you're not the one calling the shots. So it's a reprieve. ... the dream world had rules in it. You couldn't read a clock in your dreams. It would not give you the time. If the lights were on in a room, you could not turn them off in a dream. ... in indigenous tribes all over the world, the dream world was like church. [p. 247]
Tehya Sky, A Ceremony Called Life: When Your Morning Coffee Is as Sacred as Holy Water|Through you, I see me. Through me, I see you.
Robert Fulghum, All I Really Need to Know I Learned in Kindergarten: Uncommon Thoughts on Common Things|If only the scientific experts could come up with something to get it out of our minds. One cup of fixit fizzle that will lift the dirt from our lives, soften our hardness, protect our inner parts, improve our processing, reduce our yellowing and wrinkling, improve our natural color, and make us sweet and good.
Michael Paterniti, Driving Mr. Albert: A Trip Across America with Einstein's Brain|At first, you fall in love. You wake in the morning woozy and your twilight is lit with astral violet light. You spelunk down into each other until you come to possess some inner vision of each other that becomes one thing. Us. Together. And time passes. Like the forming of Earth itself, volcanoes rise and spew lava. Oceans appear. Rock plates shift. Sea turtles swim half the ocean to lay eggs on the mother island; songbirds migrate over continents for berries from a tree. You evolve--cosmically and geologically. You lose each other and find each other again. Every day. Until love gathers the turtles and the birds of your world and encompasses them, too.
T. S. Eliot|You cannot live to please everyone else. You have to edify, educate and fulfill your own dreams and destiny, and hope that whatever your art is that you're putting out there, if it's received, great, I respect you for receiving it. If it's not received, great, I respect you for not.
Sebastian Pole, Discovering the True You with Ayurveda: How to Nourish, Rejuvenate, and Transform Your Life|As we embrace our passions and delve into the mystery of life, we unite with the majestic complexity of nature; and if we follow the signs, this can help us understand who we really are.
Richard Brookhiser, Founders' Son: A Life of Abraham Lincoln|Young, healthy communities can afford to roll the dice.
Norman Schwarzkopf|In a recent interview, General Norman Schwartzkof was asked if he thought there was room for forgiveness toward the people who have harboured and abetted the terrorists who perpetrated the 9/11 attacks on America. His answer..."I believe that forgiving them is God's function. Our job is simply to arrange the meeting.
Cassandra Clare, City of Glass|You could have had anything else in the world, and you asked for me."She smiled up at him. Filthy as he was, covered in blood and dirt, he was the most beautiful thing she'd ever seen."But I don't want anything else in the world.
Laini Taylor, Strange the Dreamer|You’re a storyteller. Dream up something wild and improbable," she pleaded. "Something beautiful and full of monsters."“Beautiful and full of monsters?"“All the best stories are.
Christine Fonseca, Libera Me|There is no way of stopping death, not here. You can prolong it. But at some point, it is bound to catch up to you.
Kemi Sogunle|If you are busy focusing on the falling bricks, you will never realize that they are truly stepping stones you need to cross over to the next phase of your life.
Joyce Rachelle|If it is irrational and hypocritical to hold a minor to the same standard of behaviour control as a mature adult, it is equally unjust to hold a traumatised and neurologically impaired adult to the same standard as one not so afflicted
Calvin Coolidge|It still would be years before I understood the seriousness of my change of view. Much later, I recognized it in "Revolution," the essay of Polish journalist Ryszard Kapuscinski, who describes the moment when a man on the edge of a crowd looks back defiantly at a policeman — and when that policeman senses a sudden refusal to accept his defining gaze — as the imperceptible moment in which rebellion is born. "All books about all revolutions begin with a chapter that describes the decay of tottering authority or the misery and sufferings of the people," Kapuscinski writes. "They should begin with a psychological chapter — one that shows how a harassed, terrified man suddenly breaks his terror, stops being afraid. This unusual process — sometimes accomplished in an instant, like a shock — demands to be illustrated. Man gets rid of fear and feel free. Without that, there would be no revolution.
