Ivan Goncharov, Oblomov|In the bitter waves of woe, Beaten and tossed about By the sullen winds that blow From the desolate shores of doubt,­­ When the anchors that faith had cast Are dragging in the gale, I am quietly holding fast To the things that cannot fail: In the darkest night of the year,  When the stars have all gone out,  That courage is better than fear,  That faith is truer than doubt; And fierce though the fiends may fight,  And long though the angels hide, I know that Truth and Right Have the universe on their side; And somewhere, beyond the stars, Is a Love that is better than fate; When the night unlocks her bars I shall see Him, and I will wait
Hunter S. Thompson|I've helped some of my classmates on how to strategize to get to the next level of their businesses. And it's interesting, because here I am sitting there from the entertainment industry and the fashion industry, and I'm giving a billionaire that has a business that's been in his family for 300 years - I'm giving him advice about strategy!
Hamdi Ulukaya|Growing up in a cold place, in Southern Ontario, Woolrich was a brand of choice for us because it was always warm and comfortable. The parka with the fur on it was standard fare for us. It's extraordinary that they have kept up with the times. Beyond the parka, they have changed, and they have some pretty hip, cool items which I wear.
Sue Bender, Plain and Simple: A Journey to the Amish|I don't know about forever, but I love you just the same.
Shannon L. Alder|An open Facebook page is simply a psychiatric dry erase board that screams, “Look at me. I am insecure. I need your reaction to what I am doing, but you’re not cool enough to be my friend. Therefore, I will just pray you see this because the approval of God is not all I need.
Brian Greene|If mass media, social isolation in the suburbs, alienating workplaces and long car commutes create a bunker mentality, the Internet does the opposite.
Thomas Hardy, Jude the Obscure|Some women’s love of being loved is insatiable ; and so, often, is their love of loving; and in the last case they may find that they can’t give it continuously to the chamber-officer appointed by the bishop’s licence to receive it.
Faiqa Mansab, THIS House of Clay and Water|I was an utterance in absentia. I was a forgotten word, uttered and mislaid long ago. I was the word that existed because there was another word that was my opposite, and without it I was nothing. I gained meaning only by acknowledging that possible other.Nida
Alan Moore, Watchmen|People's lives take them strange places. They do strange things, and... well, sometimes they can't talk about them.
Matshona Dhliwayo|Love makes you strong when others are weak, brave when others are scared, hopeful when others are despairing and cheerful when others are sad.
S.J. Watson, Before I Go to Sleep|Thoughts race, as if, in a mind devoid of memory, each idea has too much space to grow and move, to collide with others in a shower of sparks before spinning off into its own distance.
Arturo Pérez-Reverte|When he stepped into the shower, the hit water scalded him. He let it run over his face, burning his eyelids. He put up with the pain, his jaw clenched and his muscles taut, suppressing the urge to howl with loneliness in the suffocating steam. For four years, one month, and twelve days, Nikon always got into the shower with him after they made love and soaped his back slowly, interminably. And often she put her arms around him, like a little girl in the rain. One day I'll leave without ever really knowing you. You'll remember my big, dark eyes. The reproachful silences. The moans of anxiety as I slept. The nightmares you couldn't save me from. You'll remember all this when I'm gone.
Matshona Dhliwayo|As only dead leaves allow the wind to blow them to and fro, never allow yourself to be swayed by popular opinion.
Sean J Halford, Stronger Than Lions|Then, when it didn't crash, when you succeeded in keeping it aloft with your own worthlessness, all you had to do was stagger off, locate your luggage, and, by the time a cab arrived, come up with a persuasive reason to go on living.
Charles Bukowski, You Get So Alone at Times That it Just Makes Sense|It got so bad that Al thoughtmaybe it washimso he went to a shrinkand askedand the shrink said,"you're one of the sanest menI've ever met."poor Al.that made him feelworse than ever.
Deyth Banger|Magic = Chess, Chess is with strategy, doing moves which people think that they are random, but they aren't random. They are part of the strategy. The same is in the magic. However, the magic, have the ability to distraction!
Ali Smith, Autumn|This isn’t fiction, the man says. This is the Post Office.
Stefne Miller, Collision|his mind's like Alcatraz. once something's in, it never gets out
Edward Cowling|Mrs Hargreaves liked her job and she liked the Hoopers. As far as she was concerned there was far too much twaddle being talked about Glade Hall, by people with too much time on their hands.“Over fertile imaginations.” She’d told the new head gardener.Some of the locals had worked for the hotel and told stories of seeing shadows around the grounds, when the light was just right. As if shadows could hurt anyone ! It was all twaddle and nonsense.
