Victoria Kahler, Luisa Across the Bay|Through the veil of Love, one finds the heaven on Earth
Sherrilyn Kenyon, Dream Chaser|My father used to say that life is what you make it. Today is the first day of the rest of your life. You can’t change the past, but the future isn’t set in stone. You can effect a change there. Move forward not with hatred or love. Move forward with purpose. (Simone)
Shannon L. Alder|When you loved someone and had to let them go, there will always be that small part of yourself that whispers, "What was it that you wanted and why didn't you fight for it?
George Sand|With our love, we could save the world.
David Foster Wallace, Infinite Jest|You decide. You be the judge. It says You are welcome regardless of severity. Severity is in the eye of the sufferer, it says. Pain is pain.
Barbara Walters|Once you've been in space, you appreciate how small and fragile the Earth is.
Melissa Marr, Desert Tales|I grip Colin harder, kissing him longer, unwilling to let him go. This is what I want; this is what I’ve wanted since his damn phone interrupted us this morning, his mouth, his body claiming mine. I’m on fire, every muscle in my body attuned to his, my groin clenching with delicious need. When the voices grow louder his hold loosens. “Don’t stop, please,” I beg into his mouth. Diving into me once more his tongue slays me, erases every thought of the outside world until the passion has left us breathless and we have to break away if only to live. His forehead presses to mine as we gasp together, the cold air barely cooling the heat raging between us. -Midnight, A McKenna Chronicle
Daniel Handler, Why We Broke Up|It was only love,It only drove me to my knees.Rendering me hopelessLike an incurable disease.
William Laws|From: The Crown of TelusShe opened her eyes, saw the crown sitting on her bedside table, and wished that it was all a dream. The crown of Trist was nothing special. It had no gemstones, no gold or silver filigree; instead it was simple, a metal circlet with four points and some inlay around a scratched and dented band. “It’s a working man’s crown,” she remembered her father holding the symbol of power out to her when she younger. “See the inlay? Three moons, one for each of our gods, over an oak which represents the mighty forests of the north, a shock of wheat for the Plainsmen to the south, a ship for the Gheltes to the west, and a hashap flower for the spice in the east. Nothing more. We don’t need anymore.”Tears welled in her eyes. A working man’s crown. Nothing fancy or bejeweled, a symbol of the power that guides the land and cares for its people. This was going to be the first day she wore it as queen.
Derek Landy, Death Bringer|The man had a smooth voice, like velvet. “I’m Detective Inspector Me. Unusual name, I know. My family were incredibly narcissistic. I’m lucky I escaped with any degree of humility at all, to be honest, but then I’ve always managed to exceed expectations. You are Kenny Dunne, are you not?”“I am.”“Just a few questions for you, Mr Dunne. Or Kenny. Can I call you Kenny? I feel we’ve become friends these past few seconds. Can I call you Kenny?”“Sure,” Kenny said, slightly bafﬂed.“Thank you. Thank you very much. It’s important you feel comfortable around me, Kenny. It’s important we build up a level of trust. That way I’ll catch you completely unprepared when I suddenly accuse you of murder.
Edward McPherson, Buster Keaton: Tempest In A Flat Hat|How did you deal with it? How do you stop loving someone?”“The Creator didn’t make love conditional,” Jona said. “Love is what makes us human. What separates us from the corelings. There is value in it, even when it is not requited.
Eugene H. Peterson, Tell It Slant: A Conversation on the Language of Jesus in His Stories and Prayers|My prophetic task would be twofold: to stand up to him, and to stand by him. To awaken his conscience, and to salve the pain this would cause him.
Shaye Evans, Christmas Wishes|Pepe absently thought, happy beyond words that he was actually holding hands with Lucia.	Passing a stall with a particularly pungent odor of manure made Pepe falter, realizing a barn wasn't the most romantic place to propose. Then he remembered the Savior born on this very night so long ago, and he figured if God could choose a stable for such an important miracle, he could too.
Sarah Jane Butfield|Nicky Cruz: You come near me and I'll kill you!David Wilkerson: Yeah, you could do that. You could cut me up into a thousand pieces and lay them in the street, and every piece will still love you.
