Paolo Bacigalupi, The Water Knife|Jesus walked on water, so maybe he makes aquifers, too.
Naomie Harris|A black agenda is jobs, jobs, jobs, quality education, investment in infrastructure and strong democratic regulation of corporations. The black agenda, at its best, looks at America from the vantage point of the least of these and asks what's best for all.
Arthur Ochs Sulzberger|I love Africa, and Ulusaba, our home in South Africa, is pretty special. It's on a rocky hill overlooking the bush, and from your room, you can see lions stalking zebras by the waterhole.
Karl Marx, The Communist Manifesto|Thus the aristocracy took their revenge by singing lampoons on their new master, and whispering in his ears sinister prophecies of coming catastrophe.In this way arose feudal Socialism; half lamentation, half lampoon; half echo of the past, half menace of the future, at times by its bitter, witty and incisive criticism, striking the bourgeoisie to the very heart's core, but always ludicrous in its effects, through total incapacity to comprehend the march of modern history.
Lynda Cheldelin Fell|When people told me I was so strong for surviving my daughter’s death, I wanted to scream. But the truth is that deep inside we are far more resilient, brave, and incredibly strong for having survived at all. So scream, be brave, and embrace your power. It will become your biggest asset.
Robert A.F. Thurman, The Tibetan Book Of The Dead|What a nuisance is the friend who must have this and that, whose likes and hates are infinite, with bitter and loud voiced complaint about the whole of circumstance? How pleasant are the truly great who, wanting nothing, are content with anything. Accepting all things in a world of illusion as born of cause-effect they live in a mind above the opposites, and we call them great because they do so.
Justine Hail, The Secret Story of Shy Shelly|It's scary to make friends, it's scarier to stand up for a friend, but it's scariest to not be a friend for fear will be your only company.
Taslima Nasrin|Because I am a woman, I must make unusual efforts to succeed. If I fail, no one will say, 'She doesn't have what it takes'; They will say, 'Women don't have what it takes.'
K.J. Charles, The Magpie Lord|You wanted me to fuck you, didn't you?"Stephen shut his eyes. "Briefly."Crane lowered his head so his mouth was right on Stephen's ear, voice vibrating, teeth and tongue touching the sensitive flesh. "When I fuck you, Mr. Day, it will not be briefly. It will be long and hard and extremely thorough. I'm going to take pains with you.
W. Somerset Maugham, Cakes and Ale|He has never been known to use a word that might send a reader to the dictionary."(on Ernest Hemingway
Tehmina Durrani, My Feudal Lord|He had fallen in love with her emotions, and that was a very profound feeling indeed.
Israelmore Ayivor, The Great Hand Book of Quotes|Watch out! Someone taught me that I should watch the people in my boat; some may be rolling the boat while others may be drilling holes under it! So, am determined to watch my circle!
Tracy Winegar, Good Ground|Just ’cause a body says somethin’ don’t make it so. You know who you are, and they can’t change that no matter what them cacklin’ hens is to say.” He tapped him on the chest. “What matters is what’s in here, son. Not a soul can take that away from you.
Vladislav Tamarov, Afghanistan: A Russian Soldier's Story|When you live next to death ... you don't think about it anymore, you just try to encounter it as seldom as possible.
Amy Grant|Caresses, expressions of one sort or another, are necessary to the life of the affections as leaves are to the life of a tree. If they are wholly restrained, love will die at the roots.
Sheri S. Tepper, The Visitor|Mankind accepts good fortune as his due, but when bad occurs, he thinks it was aimed at him, done to him, a hex, a curse, a punishment by his deity for some transgression, as though his god were a petty storekeeper, counting up the day's receipts.
Lynn Flewelling, Luck in the Shadows|These are Plenimaran marines, and there's not much most of them aren't capable of, if you take my meaning.""I don't think I do," said Alec, puzzled by Seregil's tone."Then try this. They have a saying among them: 'When whores are few, a boy will do.' Got that?""Oh." Alec felt his face go hot.
