Emily Brontë, Wuthering Heights|Unrequited love is a ridiculous state, and it makes those in it behave ridiculously.
Marcel Proust, Remembrance of Things Past: Volume I - Swann's Way & Within a Budding Grove|Every person is destroyed when we cease to see him; after which his next appearance is a new creation, different from that which immediately preceded it, if not from them all.
Maddy Malhotra, How to Build Self-Esteem and Be Confident: Overcome Fears, Break Habits, Be Successful and Happy|All the thoughts/images in our minds, and all the emotions connected with our thoughts will sooner or later manifest as our reality.
Anita Moorjani, Dying to Be Me: My Journey from Cancer, to Near Death, to True Healing|Selfishness comes from too little self-love, not too much, as we compensate for our lack. There's no such thing as caring for the self too much, just as there's no such thing as too much genuine affection for others. Our world suffers from too little self-love and too much judgment, insecurity, fear, and mistrust. If we all cared about ourselves more, most of these ills would disappear.
Stephen Crane, Complete Poems of Stephen Crane|Young people have limited choices, but they are also useful human resources.
Confucius|Learn to get in touch with the silence within yourself, and know that everything in life has purpose. There are no mistakes, no coincidences, all events are blessings given to us to learn from.
J.G. Ballard, The Unlimited Dream Company|Miriam - I'll give you any flowers you want!' Rhapsodising over the thousand scents of her body, I exclaimed: 'I'll grow orchids from your hands, roses from your breasts. You can have magnolias in your hair...!''And in my heart?''In your womb I'll set a fly-trap!
Tadao Ando|I hope America can also be the cultural leader of the world, and use this frontier spirit to lead and show others that we need courage to go places where we have not gone before.
Ellen Stofan|I don't see this planet being... they're talking about how they're turning around the environmental problems here, but I think it's already too late.
William Knox|MortalityOh, why should the spirit of mortal be proud?Like a swift-fleeting meteor, a fast-flying cloud,A flash of the lightning, a break of the wave,He passes from life to his rest in the grave.The leaves of the oak and the willow shall fade,Be scattered around, and together be laid;And the young and the old, the low and the high,Shall molder to dust, and together shall lie.Yea, hope and despondency, pleasure and pain,Are mingled together in sunshine and rain;And the smile and the tear, the song and the dirge,Still follow each other, like surge upon surge.'Tis the wink of an eye - 'tis the draught of a breath -From the blossom of health to the paleness of death,From the gilded saloon to the bier and the shroudOh, why should the spirit of mortal be proud?
Germany Kent|Whether you choose to move on from your struggles and enjoy life or waddle in your misery, life will continue.
Christopher Hitchens|A wide and vague impression exists that so-called Eastern religion is more contemplative, innocuous, and humane than the proselytizing monotheisms of the West. Don't believe a word of this: try asking the children of Indochina who were dumped by their parents for inherited deformities that were attributed to sins in a previous 'life.
Eileen Favorite, The Heroines|For a bookworm like Mother, a Brontë novel sister was better than a biological one.
Blaise Pascal|Everyone chases after happiness, not noticing that happiness is right at their heels.
Onyi Anyado|Entrepreneur, your distinction can be found on Twitter, so, is your thought leadership impressing or depressing?
Kristen-Paige Madonia, Fingerprints of You|That amazing time in our lives is gone, and will never return. All the beautiful possibilities we had then have been swallowed up in the flow of time.
J.D. Robb, Indulgence in Death|Minute by minute, then hour by hour, then day by day. Work is solace," he said, "friends are comfort. Life is for the living. You and I know that, even though we spend so much time with the dead - maybe because of that we know we have to live. Chale has been a great help to me.""That's good," she said, thinking of the priest she'd suggested Morris talk to. "You can ... you know, anytime.""Yes." His lips curved. "I know. You're work, and a friend, so have been both solace and comfort.
Emma Goldman|My Mom said she learned how to swim when someone took her out in the lake and threw her off the boat. I said, 'Mom, they weren't trying to teach you how to swim.'
Stephen Chbosky, The Perks of Being a Wallflower|If we cannot be contented with our current lives and possessions, then we are feeding an appetite that no amount of money will ever satiate.
Ron Baratono|It's easy when you're climbing something. Don't look down, or even too far ahead. Focus on where you are in that moment.
