Ruth Rendell|I think to be driven to want to kill must be such a terrible burden".
JaszCab.|I could never understand what was going on in my dreams I couldn’t control the happenings, it’s like I just stood there glued to the ground watching everything around me move and evolve into different scenarios. I was a ghost of myself watching life unravel before my own eyes...
Patti Smith, Just Kids|He wasn't supposed to die,' he cried out, somewhat desperately, petulantly, like a spoiled child. But I could hear other thoughts racing between us.Neither are you.Neither am I.
Holly Hood, Black Moon|If she in fact knows magic she needs to do a spell to adjust that shitty attitude she has all of a sudden,” Nona said. “I may not be a witch, but I will knock her right off that broomstick if she keeps this up.
Carrie Underwood|You never stop learning. If you have a teacher, you never stop being a student.
Justin K. McFarlane Beau|I mind the unmindful, but I mind my own mind too. Mine your mind, and mine the minds of others. Mind.. you are mine!
Roman Payne, Rooftop Soliloquy|I was surrounded by friends, my work was immense, and pleasures were abundant. Life, now, was unfolding before me, constantly and visibly, like the flowers of summer that drop fanlike petals on eternal soil. Overall, I was happiest to be alone; for it was then I was most aware of what I possessed. Free to look out over the rooftops of the city. Happy to be alone in the company of friends, the company of lovers and strangers. Everything, I decided, in this life, was pure pleasure.
Larry Flynt|Success didn't spoil me, I've always been insufferable.
Winsome Campbell-Green, The Secret Rules Of Self-Love: How To Love Yourself, Overcome The Loneliness Of Being Single, And Achieve Happiness|Be resilient until you complete a task. Challenge yourself and never limit yourself. Stay humble, hopeful, patient, but never quit!
Chuck Palahniuk, Damned|Actually, watching television and surfing the Internet are really excellent practice for being dead.
Margaret D. Nadauld|No matter how much you like your local school teacher, he or she is a government agent.
Hozier|The seated lotus postures are an amazing way to go into meditation, or simply just to take a moment to ground oneself.
Mary Wollstonecraft Shelley, Valperga: Or, the Life and Adventures of Castruccio, Prince of Lucca|When tenderness softened her heart, and the sublime feeling of universal love penetrated her, she found no voice that replied so well to hers as the gentle singing of the pines under the air of noon, and the soft murmurs of the breeze that scattered her hair and freshened her cheek, and the dashing of the waters that has no beginning or end.
Kevin Brooks, Lucas|I was thinking about all these things and more, but I wasn't really thinking about them at all. They were just there, floating around in the back of my mind, thinking about themselves. What I was really thinking about, of course, was Lucas.
Richard M. Nixon|No event in American history is more misunderstood than the Vietnam War. It was misreported then, and it is misremembered now.
Rabindranath Tagore|Help!" he yelled and he lifted one leg, trying to run. But you can't outrun the membrane — he was soon gone.
F.D.  Lee, The Fairy's Tale|Even Aristotle, master of pure reason, said: 'The friend of wisdom is also a friend of myth.
Lysander Spooner|Any government, that is its own judge of, and determines authoritatively for the people, what are its own powers over the people, is an absolute government of course. It has all the powers that it chooses to exercise. There is no other or at least no more accurate definition of a despotism than this.
Dave Barry, Dave Barry's History of the Millennium|Palestinian and Israeli leaders finally recover the Road Map to Peace, only to discover that, while they were looking for it, the Lug Nuts of Mutual Interest came off the Front Left Wheel of Accommodation, causing the Sport Utility Vehicle of Progress to crash into the Ditch of Despair.
Rebecca Hahn|STORIES" it should not be the perfect,not be untold,not be romedy.. it should be the lesson to teach the human, whats the life is??
Pope Francis|Next to enjoying ourselves, the next greatest pleasure consists in preventing others from enjoying themselves, or, more generally, in the acquisition of power.
Billy Graham, Billy Graham in Quotes|Remember that “where God guides, He provides. Where He leads, He supplies all needs.
Jane Austen, Mansfield Park|We have all a better guide in ourselves, if we would attend to it, than any other person can be
Stephen Richards|The universe is infinite, so there is room for everyone, for every belief, for every custom, and for every desire. You are in competition with no one but yourself.
