Michael Pollan, The Omnivore's Dilemma: A Natural History of Four Meals|a man who was, as we say in the restaurant business, one taco short of a combo platter.
Russell Peters|I guess you get pigeon-holed in Hollywood, but I'm ok with that because I've been able to do a lot. I started in the theater, then I went to stand-up comedy, and then when I went into the movies to do comedy and drama and big movies and small movies.
Krista Ritchie, Addicted for Now|He stands confidently in his hot pink mankini. When I told him it was the only suit left, he literally shrugged and put it on. Tan skin, ripped abs and stylish wayfarers- he instantly looked cool even wearing that damn thing. And the girls playing water volleyball even gawked at his ass
Pablo Neruda, 100 Love Sonnets|Naked you are blue like the night in Cuba,you have vines and stars in your hair,
Mark Mackey, Summer Aldens|Now the screams were awful to hear as men burned like candles all along the deck. Black smoke billowed over the sea. Argurios could not believe what he was watching. At least fifty helpless men were dying in agony. One man managed to free himself and leap into the sea. Amazingly, when he surfaced the flames were still consuming him.All along the beach there was silence as the stunned crowd watched the magical fires burning the galley and it's crew.
T.L. Rese|A teenage boy with a Mohawk sat across from me, sneering. I’d seen that look before. Why was it a problem to knit in public?“My grandma knits.”I ignored him.“So what are you making, Grandma?” Mohawk’s voice was ugly.I arched my eyebrow. “A cashmere cock ring. Your grandma ever knit one of those?”The kid’s eyes grew wide, and he suddenly became very interested in a four-year-old issue of Teen Vogue.
Azhly Antenor|I won't let my best friends do silly,stupid,annoying,funny things-WITHOUT ME!!!!!!!!!!
Dennis Prager|Talk about a group that is REALLY suffering, it's women in America. To be a woman in America is just to live under this sword of wage inequality. Ask her in 20 years from now, "Patricia Arquette, you had the chance to talk to millions of people in over 100 countries. What did you decide to talk about? With women being traded as sex slaves in the tens of thousands under Islamic rule, in Africa and the middle East, and WHAT did you decide to talk about?" Wage inequality in America. You're a moral fool.If in fact women really got 77 cents to the dollar, why would any employer hire men? If I can get the exact same work and save almost 25%, you would have to be an idiot to hire a man! It's all nonsense. It's all a lie.
Mick Foley|Every now and then, someone will tell me that one of my books has made them laugh out loud. I never believe them because: a.) my books don't make me laugh out loud; and b.) sometimes I have said this to a writer, when really what I meant was, 'Your book made me smile appreciatively.'
K.L. Kranes, The Travelers|I didn't want to be different, even among the different.
Mihaly Csikszentmihalyi, Creativity: Flow and the Psychology of Discovery and Invention|A large majority of our respondents were inspired by a tension in their domain that became obvious when looked at from the perspective of another domain. Even though they do not think of themselves as interdisciplinary, their best work bridges realms of ideas. Their histories tend to cast doubt on the wisdom of overspecialization, where bright young people are trained to become exclusive experts in one field and shun breadth like the plague.
Sammi Carter|My Date was waiting for me at the kitchen door, ears perked, tail wagging and bits of wicker clinging to his nose and mouth" --Abby Shaw, Sucker Punched
Bill Jensen, Future Strong|Instead of getting the leaders we deserve, we can an abundance of ShitRollsDownhill Shovelers, ShitCatchers, and NewShitCreators.
Farley Mowat|Whenever and wherever men have engaged in the mindless slaughter of animals (including other men), they have often attempted to justify their acts by attributing the most vicious or revolting qualities to those they would destory; and the less reason there is for the slaughter, the greater the campaign for vilification. 
Mehmet Murat ildan|No one is perfect and perfectly holy but God alone".~R. Alan Woods [2012]
Sigmund Freud|Anything that won't sell, I don't want to invent. Its sale is proof of utility, and utility is success.
Ifeanyi Enoch Onuoha|Girls are pearls, ladies are rubies, mothers are moulders, and women are wonderful.
Shirley Jackson, The Haunting of Hill House|I think the prime reason for existence, for living in this world, is discovery.
Isadora  Duncan|Now I am going to reveal to you something which is very pure, a totally white thought. It is always in my heart; it blooms at each of my steps... The Dance is love, it is only love, it alone, and that is enough... I, then, it is amorously that I dance: to poems, to music but now I would like to no longer dance to anything but the rhythm of my soul.
Terry Goodkind, The First Confessor|Baraccus had told her that while a number of wizards could make things, the same as the ungifted could make things, it was this component of artistic ability in creating new things that took to to another level and made the makers more than true prophets. Magda remembered the passion in his voice as he told her about such things. Making things was in his soul. Creating new things seemed to be his spark of life.
