Thomas Mann|Walk tall, or baby don't walk at all.
Luis Almonte|Surround yourself with people that love you and accept you exactly for who and what you are. The only explanation you owe is the one you give to yourself, for not living your authentic life with the love and purpose you were meant to live.
Dada Bhagwan|If money is spent in the wrong way, then ‘control’ the spending and if the money is spent in the right way, then ‘decontrol’ the spending.
Billy Graham, Billy Graham in Quotes|I believe a Christian can sin, but he does not have to. God never would have told us to reject evil acts if in point of fact we could not help but do them.
Molly Friedenfeld, The Book of Simple Human Truths|When we live our life as if it is an open book, we are free in body, mind, and spirit and allow anyone to read from our pages.
Michael Haneke|A man can be 43, and people will say, 'Oh, he's a cool bachelor, and he just hasn't settled down,' but with a woman, it's, 'Oh, she must have really wanted to get married, but she didn't.' I honestly think that attitude is a little bit sexist.
Octavia E. Butler|The vast majority of Malaysians are sensible people; they're moderates, they want peace, they want harmonious race relations at home. They look for national unity.
Jean Hamilton-Fford, Play.Create.Succeed.|On one side of accountability is courage, on the other is freedom.
Allan Dare Pearce, Paris in April|Impression forms opinion, opinion deforms truth!
Hannah More, Coelebs in Search of a Wife|For a Man cannot believe a Miracle without relying upon Sense, nor Transubstantiation without renouncing it. So that never were any two things so ill coupled together as the Doctrine of Christianity and that of Transubstantiation, because they draw several ways, and are ready to strangle one another: For the main Evidence of the Christian Doctrine, which is Miracles, is resolved into the certainty of Sense, but this Evidence is clear and point blank against Transubstantiation.
Douglas Self|I reached up with my finger and traced the scar over my eyebrow, remembering when that was the greatest hurt I'd ever known.
Vironika Tugaleva, The Love Mindset: An Unconventional Guide to Healing and Happiness|In love, there is no need to choose between self and other, because self is other.
Angela Merkel|Experience acquired in the heroic battle against Batista's tyranny showed that the enemy, no matter what his strength, could not defeat the Cuban people.
Anthony Liccione|Then you do not belong here. Death holds no sweetness in this house. We are not warriors, nor soldiers, nor swaggering bravos puffed up with pride. We do not kill to serve some lord, to fatten our purses, to stroke our vanity. We never give the gift to please ourselves. Nor do we choose the ones we kill. We are but servants of the God of Many Faces.""Valar dohaeris." All men must serve."You know the words, but you are too proud to serve. A servant must be humble and obedient.""I obey. I can be humbler than anyone."That made him chuckle. "You will be the very goddess of humility, I am sure. But can you pay the price?""What price?""The price is you. The price is all you have and all you ever hope to have. We took your eyes and gave them back. Next we will take your ears, and you will walk in silence. You will give us your legs and crawl. You will be no one's daughter, no one's wife, no one's mother. Your name will be a lie, and the very face you wear will not be your own.
Derin J Tom|I find that when people haven't found God and do not know the new birth and the Spirit is not on them, yet they have the ancient impulse to worship something. If they're not educated they kill a chicken and put a funny thing on their head and dance around. If they are educated they write poetry.
Johann Wolfgang von Goethe|I find hope in the darkest of days, and focus in the brightest. I do not judge the universe.
James Dashner, The Maze Runner|It's amazing how once the mind is free of emotional pollution, logic and clarity emerge.
William Hague|A globalized world is by now a familiar fact of life. Building walls or moats may sound appealing, but the future belongs to those who tend to their people and then boldly engage the rest of the world, near and far.
Donna Lynn Hope|We deny more than we confess. We hide more than we reveal. We assume because it makes us feel exposed if we have to ask. It's easier to say "I feel nothing" than to admit "I feel something." It takes no courage to say, "I hate you" but it takes a great deal of moxie to declare its opposite. Masks are elaborate and everyone has one. It takes a while to get to know people. This doesn't make them special, it makes them like everyone else. Sometimes our hearts scream yes while our heads say run; and only one can be obeyed.
