Jonathan L. Walls|Not only does evil depend upon good, but in this case, darkness depends upon light.
Mark Twain, Tales, Speeches, Essays, and Sketches|What would the new teacher, representing France, teach us? Railroading? No. France knows nothing valuable about railroading. Steamshipping? No. France has no superiorities over us in that matter. Steamboating? No. French steamboating is still of Fulton's date--1809. Postal service? No. France is a back number there. Telegraphy? No, we taught her that ourselves. Journalism? No. Magazining? No, that is our own specialty. Government? No; Liberty, Equality, Fraternity, Nobility, Democracy, Adultery the system is too variegated for our climate. Religion? No, not variegated enough for our climate. Morals? No, we cannot rob the poor to enrich ourselves.
Nick Harkaway, The Blind Giant|A desire for privacy does not imply shameful secrets; Moglen argues, again and again, that without anonymity in discourse, free speech is impossible, and hence also democracy. The right to speak the truth to power does not shield the speaker from the consequences of doing so; only comparable power or anonymity can do that.
Amy Jarecki, Rise of a Legend|Buchan had discovered a wealth of small tidbits. He now knew her first name - Tatiana. Like Shakespeare's fairy queen. "Be she but little, she is fierce.
Nikki Rowe|I thought having a chronic illness would make my life detour in ways I didn't want to accept, but I've learnt that have a chronic illness made the only detours that are worth the growth.
Steven Magee|It really should be a criminal offense for an electrician to mount a breaker box on a bedroom wall. Unfortunately, I see the solar industry mounting inverters on bedroom walls also!
Augustine of Hippo, The City of God|The good man is neither uplifted with the good things of time, nor broken by its ills; but the wicked man, because he is corrupted by this world's happiness, feels himself punished by its unhappiness.
Emily Dickinson|I wonder if it hurts to live,And if they have to try,And whether, could they choose between,They would not rather die.
Gary Miller|With my biology degree, I got this job at an environmental lab. We tested sewage runoff, we tested chemical warfare waste runoff. It's a job I'll never do again and I would never wish upon anybody.
Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership|The Protestants of old go to work not just for the money, their biggest motivation for work is service to God and man. Not the interest to gain profit or make money.
Jorge Luis Borges, Dreamtigers|All things left her, allBut one. Her highborn courtlinessAccompanied her to the end,Beyond the rapture and its eclipse,In a way like an angel's. Of ElviraThe first thing that I saw - such years ago -Was her smile and also it was the last.
James Dashner, The Scorch Trials|She never wants to get to the point where she looks forward to hearing from someone. Once you look forward to something, you’re inevitably let down and nothing can stay the same so she'd rather expect nothing at all and just be surprised that she was thought of at all.
Robert A. Heinlein|Climate is what you expect, weather is what you get.
Penny Reid, Truth or Beard|She disliked me. But she worshipped my brother. He didn't see her, not really. Not like I did.
John Stuart Mill|You say, 'If I had a little more, I should be very satisfied.' You make a mistake. If you are not content with what you have, you would not be satisfied if it were doubled.
Auliq Ice|Their friendship is like a tapestry in a drawer. Today is the iron passing over the cloth, smoothing out the wrinkles, bring out the pattern that makes it unique and beautiful.
Kevin DeYoung|I love the name of honor, more than I fear death.
Lauren DeStefano, Sever|If I ever have to cast an acting role, I want the wrong person for the part. I can never visualize the right person in a part. The right person for the right part would be too much. Besides, no person is every completely right for any part, because part in a role is never real, so if you can't get someone who's perfectly right, it's more satisfying to get someone who's perfectly wrong. Then you know you've really got something.
Elbert Hubbard|God will not look you over for medals, degrees or diplomas but for scars.
Nicolas Flamel|And before you say this is all far-fetched, just think how far the human race has come in the past ten years. If someone had told your parents, for example, that they would be able to carry their entire music library in their pocket, would they have believed it? Now we have phones that have more computing power than was used to send some of the first rockets into space. We have electron microscopes that can see individual atoms. We routinely cure diseases that only fifty years ago was fatal. and the rate of change is increasing. Today we are able to do what your parents would of dismissed as impossible and your grandparents nothing short of magical.
Sterling K. Brown|There are two kinds of people in crisis situations - those who fight and those who freeze. I'm a freezer, and that's just going by the couple of surprise birthday parties I've had thrown for me.
