Alex Hirsch, Gravity Falls: Journal 3|Life is totally unbelievable. Enjoy it at its fullest, with no regrets.
William Hertling, Kill Process|The winters were getting colder, starting earlier, lasting longer, with more snows than he could remember from childhood. As soon as man stopped adding his megatons of filth to the atmosphere each day, he thought, the atmosphere had reverted to what it must have been long ago, moister weather summer and winter, more stars than he had ever seen before, and more, it seemed, each night than the night before: the sky a clear, endless blue by day, velvet blue-black at night with blazing stars that modern man had never seen.
Marguerite Labbe, Pandora|Riff needed the pain in his body to mask the pain inside. Once he'd enjoyed the pain only because it brought pleasure with it, but that distinction had gotten lost.
J.M. Barrie, Peter Pan|For long the two enemies looked at one another, Hook shuddering slightly, and Peter with the strange smile upon his face."So, Pan," said Hook at last, "this is all your doing.""Ay, James Hook," came the stern answer, "it is all my doing.""Proud and insolent youth," said Hook, "prepare to meet thy doom.""Dark and sinister man,“For long the two enemies looked at one another, Hook shuddering slightly, and Peter with the strange smile upon his face."Dark and sinister man," Peter answered, "have at thee.
Jim Carroll, The Petting Zoo|On a whim, he stopped and bought a watch from a sidewalk vendor. Normally, Billy could not abide keeping time, especially when it was attached to one’s body. Time was like a relentlessly needy lapdog one had to haul around. It barked too much and had no sense of loyalty.
Neale Donald Walsch|My theme is, 'The spirit of friendship is the balance of life.' Not money. Not the World Series. It's friendship. The relationships I have with people, that's enough to keep me happy.
Lailah Gifty Akita|The older I get, the less I know. It's wonderful--it makes the world so spacious.
RVM|I am the Richest man on earth because I am the Happiest man on earth. After all, isn’t Happiness the Greatest Wealth in Life? -RVM
Frederick Buechner, The Magnificent Defeat|We are children, perhaps, at the very moment when we know that it is as children that God loves us - not because we have deserved his love and not in spite of our undeserving; not because we try and not because we recognize the futility of our trying; but simply because he has chosen to love us. We are children because he is our father; and all of our efforts, fruitful and fruitless, to do good, to speak truth, to understand, are the efforts of children who, for all their precocity, are children still in that before we loved him, he loved us, as children, through Jesus Christ our lord.
bell hooks|It is a great mystery that though the human heart longs for Truth, in which alone it finds liberation and delight, the first reaction of human beings to Truth is one of hostility and fear!
Charlaine Harris, Dead Ever After|Commanders and historians are the people who discuss wars; I was in the infantry, and most of the time I did not know where I was or what I was doing except that I was obeying orders and trying not to be killed in any of the variety of horrible ways open to me.
Julio Iglesias|Marriage requires a special talent, like acting. Monogamy requires genius.
John Green, The Fault in Our Stars|Apparently, the world is not a wish-granting factory.
Alin Sav|Pray to God one minute, listen to Him for one hour.
Busy Philipps|Our parents are obviously proud, but they're still trying to get used to the fact that we're in a band. I have a feeling my mom would actually like One Direction if I wasn't in it!
Judas Iscariot The Flight of the Feathered Serpent|False humility is the pride of not being proud, real humility is without the consciousness that pride exists.
Lani Brown|Because, visible through the slashed covers, the bone-deep wounds that crisscross the couple’s bodies pump blood. Some of the flaps of skin resulting from glancing blows are like gills, breathing. Yet even as the cries die away, he carries on.
