Darnell Dockett|My fans are definitely my shareholders, and I'm extremely thankful for them.
Scott A. Butler|If I do not agree with something or do not like something, it will be wrong to presume that I hate it. Presuming disagreement or dislike to be the same as hatred is stifling engagement. Disengagement leads to otherness, which leads to fear, which in turn leads to real hatred. Either we tolerate disagreement and dislike or we have to tolerate real hatred. The intolerance of disagreement is filling civil society lexicon with phobias each of which is leading to a disconnect, to another closed door. It may sound odd but only tolerance of disagreement demolishes walls. Doors and windows, open or closed, presume that there exists a wall, a wall created by intolerance. And doors and windows, if they exist, are closed too easily, at the slightest of pretexts.
Penn Jillette, God, No! Signs You May Already Be an Atheist and Other Magical Tales|It's not arrogant to say that you can't figure out the answers to the universe with your internal faith. It's not arrogant to know that there's no omniscient, omnipotent prime mover in the universe who loves you personally. It's not sad to feel that life and the love of your real friends and family is more than enough to make life worth living. Isn't it much sadder to feel that there is a more important love required than the love of the people who have chosen to spend their limited time with you?
Elizabeth Strout|As an atheist, I am angry that we live in a society in which the plain truth cannot be spoken without offending 90% of the population.
Joseph Heller, Catch-22|He found Luciana sitting alone at a table in the Allied officers' night club, where the drunken Anzac major who had brought her there had been stupid enough to desert her for the ribald company of some singing comrades at the bar."All right, I'll dance with you," she said, before Yossarian could even speak. "But I won't let you sleep with me.""Who asked you?" Yossarian asked her."You don't want to sleep with me?" she exclaimed with surprise."I don't want to dance with you.
Craig D. Lounsbrough|Surrender is a choice, it is never a calling.
Teri S. Lesesne|The great differentiator going forward, the next frontier for exponential growth, the place where individuals and organizations will find a new and sustainable competitive edge, resides in the area of human connectivity.
Debasish Mridha|When a leader has an attitude of gratitude, it can create great differences in the lives of others.
Augustine of Hippo, Letters of St. Augustine|No one should be ashamed to admit that they do not know what they do not know, in case while feigning knowledge, they come to deserve to never know.
Lucy Larcom|I am trying to make art that relates to the deepest and most mythic concerns of human kind and I believe that, at this moment of history, feminism is humanism.
Stephen Richards, The Secret of Getting Started: Strategies to Triumph over Procrastination|Do not let your anger lead to hatred, as you will hurt yourself more than you would the other.
Rick Warren|Organize, agitate, educate, must be our war cry.
Robert Louis Stevenson, The Suicide Club|He’d read in a textbook once a quote by the famous Captain Reynolds: I am not a brave man. But bravery, like most things, can be faked. And sometimes, in rare instances, it will lead to the real thing.
Santōka Taneda, Mountain Tasting: Haiku and Journals of Santoka Taneda|Real haiku is the soul of poetry. Anything that is not actually present in one's heart is not haiku. The moon glows, flowers bloom, insects cry, water flows. There is no place we cannot find flowers or think of the moon. This is the essence of haiku. Go beyond the restrictions of your era, forget about purpose or meaning, separate yourself from historical limitations—there you will find the essence of true art, religion, and science.
Joseph Conrad, The Nigger of the Narcissus and the Secret Sharer|My task which I am trying to achieve is, by the power of the written word, to make you hear, to make you feel — it is, before all, to make you see. That — and no more, and it is everything. If I succeed, you shall find there according to your deserts: encouragement, consolation, fear, charm — all you demand; and, perhaps, also that glimpse of truth for which you have forgotten to ask.
Jenna Dewan|My mom says I'm a fighter, a fierce competitor, and I think I am, too.
Amisha Patel|If you don't like something, change it. If you can't change it, change your attitude.
