Cameron Conaway, Caged: Memoirs of a Cage-Fighting Poet|The words he said, too, must be human enough to bleed.
Edward O. Sisson|The deepest-lying and most pervasive part of character is disposition: it accompanies us everywhere, and shows itself in all we do. It is the attitude of the soul toward life, the way in which we accept our situation and our daily experiences. On the inner side it gives color and tone to our own conscious life: on the outer side it pervades and modifies our conduct toward others and our reactions to events. A good disposition is indispensable to good character, though of course not all of character; without it one cannot hope for perfection; even with it one may fail through lack of higher elements. It is a sort of foundation layer.
Lily Morton, Rule Breaker|The truth is that I will always need you more than you need me. It’s also the truth that I’m not a good bet for someone as vital and young as you. I’m bad tempered, a perfectionist who is too serious, and too used to being on my own. You could go out tomorrow and find someone better for you, but the truth is that no one will ever need you like I do.” He pauses and then says firmly. “No one will ever love you like I do.
Gillian Bronte Adams, Songkeeper|There were problems with having a reputation like his. Folks either wanted your hide or wanted you to save theirs. There was never any happy, indifferent middle ground.
Gary Soto|I was about half in love with her by the time we sat down. That's the thing about girls. Every time they do something pretty... you fall half in love with them, and then you never know where the hell you are.
Deepika Padukone|The greenest home is the one you don't build. If you really want to save the Earth, move in with another family and share a house that's already built. Better yet, live in the forest and eat whatever the squirrels don't want.
Marcel Proust, Swann's Way|Why did you not forget your heart also? I should never have let you have that back." ...
M.L. Rhodes, Satisfaction|But what slayed Robert was that for all these years, all his adult life, he'd never believed in relationships and commitment. They were highly overrated as far as he was concerned. Some people's entire lives revolved around love...finding it, keeping it. People had written poetry about it, had sacrificed for it, had even died for it. And he'd never been able to understand why. Why would anyone want to invest themselves in such a fickle emotion that sounded too good to be true because it was too good to be true. When the going got tough, even when someone claimed to love and be committed to the people in their lives, they really only honored that commitment when things were good.
Elizabeth Gaskell, Wives and Daughters|I'm supposed to be a man but I can't help thinking no one ever showed me what that is supposed to look like. Maybe that is why I ride the middle all the time—never offending anyone, never getting a hard time, but never much standing out either.
Richard G. Scott|Attempt to be creative for the joy it brings . . . select something like music, dance, sculpture, or poetry. Being creative will help you enjoy life. It engenders a spirit of gratitude.
Cassadee Pope|The trains that travel the Chunnel are massive machines. The Eurostars are bullet-shaped and a quarter-mile long. They are pulled by a 136,000-pound locomotive and move in the open air at 185 m.p.h. and through the tunnel at 100 m.p.h.
Stephanie Perkins, Lola and the Boy Next Door|Thank you for helping my sister,” he says.I lean forward, mimicking his position. “I’m happy to.”Calliope leans out her window. “STOP FLIRTING AND GET BACK TO WORK.
Kyle Hill|I find that I have about six bloggable ideas a day. I also find that writing twice as long a post doesn't increase communication, it usually decreases it. And finally, I found that people get antsy if there are unread posts in their queue.
Sherry Argov, Why Men Love Bitches: From Doormat to Dreamgirl—A Woman's Guide to Holding Her Own in a Relationship|If you allow your rhythm to be interrupted, you'll create a void. Then to replace what you give up, you'll start to expect and need more from your partner.
Doctor You|East or West, Home is BestNorth or South, Hand to Mouth
Megan McKenna, The New Stations of the Cross: The Way of the Cross According to Scripture|Luther had passed many a white church in his day, heard them singing their hymns and chanting their "Amens" and seen them gather on a porch or two afterward with their lemonade and piety, but he knew if he ever showed up on their steps, starving or injured, the only response he’d get to a plea for human kindness would be the amen of a shotgun pointed in his face.
Jus Accardo, Tremble|The sensible man,' Crow had said (to Sherlock Holmes), 'don't look to confirm what he already knows -- he looks to deny it. Finding evidence that backs up your theories ain't useful, but finding evidence that your theories are wrong is priceless. Never try to prove yourself right -- always try to prove yourself wrong instead.
