Paresh Shah|People don't have ideas, ideas have people.
Anjum Choudhary, Souled Out|I am no one's to be claimed,I belong to me.
Brian Andreas, Story People: Selected Stories & Drawings of Brian Andreas|There was a single blue line of crayon drawn across every wall in the house. What does it mean? I asked. A pirate needs the sight of the sea, he said and then he pulled his eye patch down and turned and sailed away.
George R.R. Martin, A Game of Thrones|I would love a sandwich,' said Tybalt, with enough gravity to make it sound like a formal proclamation. Resolved: that we will have ham and cheese sandwiches.
Jennifer Jabaley, Lipstick Apology|But he that sows lies in the end shall not lack of a harvest, and soon he may rest from toil indeed, while others reap and sow in his stead.
Jürgen Moltmann|When your eyes are fixed on the horizon of eternity, it affects your vision for motherhood.
James C. Uwandu, Almost the Whole Thing|There are things you can change, the ones you can accomodate the ones you must avoid and the ones you definitely cannot do anything about. If you surrender all of them to JESUS the LORD, HE would give you Peace and Love in return.
Israel S. Dudley|I love you...I love you without needing you, I love you without wanting you. I love you for being you. Because, you see, needing you is a necessity; and wanting you is a desire. But being, is as it is. And so, you as you are, this as it is, is as it is just fine. I guess the next level will be, I love you... with no explanation. Simply because I'm lost at words for you, and even if I found words, none of them would explain. Like a man who speaks another language trying to communicate, so will I be a love that feels an unexplainable feeling, trying to explain. I can't... And that's okay.
Elle Lothlorien, Alice in Wonderland|I hear they’re all infected with chlamydia, which just goes to show that you really can’t tell who’s got the clam. I mean, look at a picture of a koala…tell me you’re not shocked.
Idries Shah|The decline in the influence of religion has been due, in the main, not to religion itself, but to the very shallowness of many practitioners. People who are indoctrinated and mistake implanted obsession for faith, are themselves destroyers of the very thing which they imagine themselves called upon to try to protect.In fact, of course, they have no such call: and their capacity to protect something which is other than their imaginings makes for a comical situation.
Bertrand Russell|There are two motives for reading a book; one, that you enjoy it; the other, that you can boast about it.
Herb Kelleher|Everybody's business is nobody's business, and nobody's business is my business.
Mary Allsebrook, Born to Rebel: The Life of Harriet Boyd Hawes|You can hardly walk up to complete strangers and say, "Good for you! You've risked banishment and brutality and ostracism just to be together, and I applaud your choice! You're in the vanguard of social change, and even though it's hard on you, the generations that come after you will have an easier time of it because you were brave enough to fall in love." So instead I told them I liked their baby. It means the same thing, but it's more socially acceptable.
Abraham H. Maslow|We need not take refuge in supernatural gods to explain our saints and sages and heroes and statesmen, as if to explain our disbelief that mere unaided human beings could be that good or wise.
Rick Riordan, The Titan's Curse|Jason's fingers itched to draw his sword. He'd met plenty of scary demigods, but he was starting to realize that Nico di Angelo--as pale and gaunt as he looked--might be more than he could handle.
Harry Emerson Fosdick|I want everybody to know that I don't care who you are, where you're from, if you're popular or not: we all have haters. But you have to be resilient. You have to not allow them to have the power over you, where you start believing the things they say.
Friedrich Nietzsche|Whoever extolleth him as a God of love, doth not think highly enough of love itself. Did not that God want also to be judge? But the loving one loveth irrespective of reward and requital.
