Sunday Adelaja, The Mountain of Ignorance|When we begin to shine, the darkness of ignorance will disappear from our society.
Helen Keller, The Story of My Life: With Her Letters (1887 1901) and a Supplementary Account of Her Education Including Passages from the Reports and Letters of Her Teacher Anne Mansfield Sullivan by John Albert Macy|There are times when I long to sweep away half the things I am expected to learn; for the overtaxed mind cannot enjoy the treasure it has secured at the greatest cost. ... When one reads hurriedly and nervously, having in mind written tests and examinations, one's brain becomes encumbered with a lot of bric-a-brac for which there seems to be little use. At the present time my mind is so full of heterogeneous matter that I almost despair of ever being able to put it in order. Whenever I enter the region of my mind I feel like the proverbial bull in the china shop. A thousand odds and ends of knowledge come crashing about my head like hailstones, and when I try to escape them, theme goblins and college nixies of all sorts pursue me, until I wish – oh, may I be forgiven the wicked wish! – that I might smash the idols I came to worship.
Tamara L. Chilver|Many people ask what they should do in their quiet time. Find a time early in your day when there are no distractions, which includes children, television, radio, or anything else that may take your focus off what you are doing. Pray for concerns on your heart and thank God for your blessings. Read God's Word and look for meaning in the scriptures and how to apply them to your life. You and your children will be blessed when you seek the Lord daily.
S.A. Tawks, Mule|Can't get myself down by thinking about what could have been, right?
Mohammed Zaki Ansari, "Zaki's Gift Of Love"|In the world of technology,In the world of Internet , information,teachings knowledge are spreading so fast but sad no one want to apply or follow because everyone is busy to share.
Brian Bilston|We need to move past the idea that a critical evaluation of our country's past (and its present, for that matter) means we are anti-American or unpatriotic. We can be proud of our country and its many positive features and noble ideas while still pointing out where we as a nation have come up short or been plainly wrong.
Derek Murphy|Merrow have long memories. And remember, we live longer. So while most humans have forgotten the brutality and injustice that led to the merrow wars, the older merrow are still angry. They hate all humans. And now that the royal family is missing… some merrow think it’s time to stop hiding. They argue that the humans are destroying the world, and that it’s our duty to wipe them out.”“Wait—what?” He’d said the last statement so casually, I almost didn’t grasp its significance. “There are merrow who want to destroy the human race?” I pictured a hundred thousand Sebastians, capable of punching through picnic tables and moving faster than we could even see them. It would be a slaughter. A mermaid apocalypse. I almost laughed at the thought, but the impulse died in my throat. I felt sick. I couldn’t believe I’d wanted to kiss him just a few moments ago.
Patrick Rothfuss, The Wise Man's Fear|She often spoke to falling seeds and said, "Ah hope you fall on soft ground," because she had heard seeds saying that to each other as they passed. The familiar people and things had failed her so she hung over the gate and looked up the road towards way off. She knew now that marriage did not make love. Janie's first dream was dead, so she became a woman.
Graham Greene, The End of the Affair|I hate you, God. I hate you as though you actually exist.
Rudolf Flesch, How to Make Sense|What are we after when we open one of those books? What is it that makes a classic a classic? ... in old-fashioned terms, the answer is that it wll elevate your spirit. And that's why I can't take much stock in the idea of going through a list of books or 'covering' a fixed number of selections, or anyway striving for the blessed state of having read this, or the other. Having read a book means nothing. Reading a book may be the most tremendous experience of your life; having read it is an item in your memory, part of your receding past... Why we have that odd faith in the magic of having read a book, I don't know. We don't apply the same principle elsewhere: We don't believe in having heard Mendelssohn's violin concerto...I say, don't read the classics -- try to discover your own classics; every life has its own.
Katharine Hepburn|As all mothers know, children travel faster than kisses. The speed of kisses is, in fact, what Doctor Fallow would call a cosmic constant. The speed of children has no limits.
J.L. Bond|There is only one way to overcome the difficulty of writing, and that is to write. Thought only becomes effective and productive at the time of writing.
