Ashley Ormon|Forgiveness is knowing and remembering what happened, but choosing to move beyond it.
John Green, The Fault in Our Stars|And then I crawled into his unmade bed, wrapping myself in his comforter like a cocoon, surrounding myself with his smell. I took out my cannula so I could smell better, breathing him and out, the scent fading even as I lay there, my chest burning until I couldn't distinguish among the pains.
Thomas Brodie-Sangster|I feel very warm towards Mum and Dad for giving us the independence they did. My childhood, and the fact we didn't have a TV, gave me a boundless imagination.
Therese Anne Fowler, Z: A Novel of Zelda Fitzgerald|Make everything an adventure. Otherwise, it will suck.
Lauren Oliver, Delirium|It won't matter if nobody ever thinks I'm pretty (although sometimes I wish, just for a second, that somebody would)
Hilary McKay|We may not be a great power anymore, we may be into you for sixty-five trillion yuan-pegged, but we're not afraid to use our troops if our spades act up, so watch out, or we'll go fucking nuclear on your yellow asses if you try to cash in your chips.
Anna Kendrick, Scrappy Little Nobody|There are no answers, only choices.
Ben Stein|Technology's related to everything. Technology is making the world more accessible, so yeah, as generations go by, they'll become more and more married to each other, for sure. I think they go hand in hand - fashion inspires design, and technology inspires design as well.
William Gaddis, A Frolic of His Own|Karma has been a pop culture term for ages. But really, what the heck is it?Karma is not an inviolate engine of cosmic punishment. Rather, it is a neutral sequence of acts, results, and consequences.Receiving misfortune does not necessarily indicate that one has committed evil. But it is a sufficient indicator of something else.And that something else can be anything, as long as it is a logical consequence of what has come before.Consider: if you fall into a well, you are not a bad person who deserves to suffer—you are merely someone who took a wrong step. Or someone who had one drink too many. Or got a head rush due to poor circulation. Or forgot to wear your glasses. Or—The reasons are plentiful, and all plausible. But the chain of cause and effect goes way, way back into the deepest hoariest recesses of your personal past.So never rule out retribution. But never expect it.
Anna Letitia Barbauld|You know, my faith is one that admits some doubt.
Louise Erdrich, The Last Report on the Miracles at Little No Horse|To love another human in all of her splendor and imperfect perfection , it is a magnificent task...tremendous and foolish and human.
Richard Branson|An organization's ability to learn, and translate that learning into action rapidly, is the ultimate competitive advantage.
Christina Engela|What would Jesus do? One thins is obvious, if there is one thing Jesus would NOT do - is to behave like his followers.
Yuna|Since I began my practice of Forgiveness Therapy, it's now instinctual for me to choose to eat like I love myself - instead of eating like I wanted to punish myself. Plus I've not only lost weight, I've lost the anger and anxiety I was feeling, and so I feel happier and calmer within.
Neil Gaiman, Anansi Boys|Dear friends, do you know that you are lucky people? You don't have any cows to lose.
Stevie Smith, Selected Poems|The world is come upon me, I used to keep it a long way off, But now I have been run over and I am in the hands of the hospital staff.
Justin Swapp, The Magic Shop|Roger’s wand made a crackling noise as he traced it around Winston’s arms, down his waist, and everywhere else.
Laura Kaye, Ride Rough|This heart, it's broke, it's totally broken. Entah kenapa pertahanan diriku akhirnya runtuh. It hurts so much and finally it tears me down.
Elizabeth Gilbert, Committed: A Skeptic Makes Peace with Marriage|Because what my gradmother did with her fine coat (the loveliest thing she would ever own) is what all women of that generation (and before) did for their families and their husbands and their children. They cut up the finest and proudest parts of themselves and gave it all away. They repatterned what was theirs and shaped it for others. They went without. They were the last ones to eat at supper, and they were the first ones to get up every morning, warming the cold kitchen for another day spent caring for everyone else. This was the only thing they knew how to do. This was their guiding verb and their defining principle of life: They gave.
L.M. Montgomery, Anne of Green Gables|The world looks like something God had just imaged for his own pleasure, doesn't it?
Questlove|All that stuff about heavy metal and hard rock, I don't subscribe to any of that. It's all just music. I mean, the heavy metal from the Seventies sounds nothing like the stuff from the Eighties, and that sounds nothing like the stuff from the Nineties. Who's to say what is and isn't a certain type of music?
