Deyth Banger|In life and love, there are no impossibilities.
Bey Deckard, Caged: Love and Treachery on the High Seas|I imagine you come across a number of people who are disconcerted by the difference between what you do feel and what they fancy you ought to feel. It is fatal to pay the smallest attention to them.”“Yes,” said Harriet, “but I am one of them. I disconcert myself very much. I never know what I do feel.”“I don’t think that matters, provided one doesn’t try to persuade one’s self into appropriate feelings.
E. Horne and J. Comeau|I love you the way a knife loves a heart, the way a bomb loves a crowd, the way your mother warned you about, essentially.
Napz Cherub Pellazo|I know you are mine,not in my life bout in my memories
Andrea Dworkin|With land-roaming animals, I've just read so much about the sophistication of their emotional lives and their intelligence and the way they process information that betrays a greater intelligence.
The Harvard Lampoon|I want to leave all my friends and the sunlight for a small, rainy town.
Lewis Mumford, The Culture of Cities|If there were such a thing as an inter-city thieving contest, Ankh-Morpork would bring home the trophy and probably everyone’s wallets.
Gary Rohrmayer, Next Steps For Leading a Missional Church|We are to be generous not just in the results of our work, but also IN our work.
Mehmet Murat ildan|And all the while one spirit uttered this,The other one did weep so, that, for pity,I swooned away as if I had been dying,And fell, even as a dead body falls.
Israelmore Ayivor, Shaping the dream|If you are convinced about your choices, go with full hope that you will get there by the grace of God!
Dan  Harmon|Old age. All the facial detail is visible; all the traces life has left there are to be seen. The face is furrowed, wrinkled, sagging, ravaged by time. But the eyes are bright and, if not young, then somehow transcend the time that otherwise marks the face. It is as though someone else is looking at us, from somewhere inside the face, where everything is different. One can hardly be closer to another human soul.
Danika Stone, All the Feels|If you’re going to be a dickhead, at least have the courtesy of doing it while I have a drink in my hand so I can throw it in your face!
Raheel Farooq|Melancholy is an escape not from reality, but unreality of the world.
Morgan Rhodes, Falling Kingdoms|You have a brain and two hands, look up the answer yourself. You want to know how to get through life? Pay attention.
Jen Lancaster|I started traveling out of curiosity, but I have come to believe in travel's political importance, that encouraging a nation's citizenry to travel may be as important as encouraging school attendance, environmental conservation, or national thrift. You cannot understand the otherness of places you have not encountered.
Angela Richardson, All the Pieces|why couldn't someone , somewhere , want her for her ?
Julie Anne Long|Something was stirring in him, though; a bud of comprehension that could very well bloom into forgiveness if left unchecked.
Lady Gaga|All the awards in the world, you can get into all the nightclubs, they'll send you the nicest clothes. Nothing better than walking into your dad's restaurant and seeing a smile on his face and knowing that your mom and dad and your sister are real proud of you.
Shannon L. Alder|I’m really not up for answering any questions that start with how, when, where, why, or what.
Dada Bhagwan|What would you ask for if you were given the freedom to chose something of your own volition (marjiyaat)? There is nothing in [all] mandatory (tasks) in which one can remain still. One after another, the needs will continue. It is only in the state of own’s own Self [the Soul], that one can remain burden-free.
