|Stop chasing people who keep running away from your presence, because even if you succeed in catching them, sooner or later they would run away.
Carlos Wallace|Some people applaud my no nonsense approach to life. Others say my methods are “extreme”. Where I’m headed and how I get there is between me and my God. So, if you don’t know where I’m going, how can you suggest I’m taking things too far?
T.K. Naliaka|The truth for a man, it's what makes him a man.
Isabelle Hardesty, Legends of the Dragon Vol. 1|Be careful mi amor, don't hurt anyone this time." Cordia reminded Jade.
David Pearce|A lot of people recoil from the word "drugs" - which is understandable given today's noxious street drugs and their uninspiring medical counterparts. Yet even academics and intellectuals in our society typically take the prototypical dumb drug, ethyl alcohol. If it's socially acceptable to take a drug that makes you temporarily happy and stupid, then why not rationally design drugs to make people perpetually happier and smarter? Presumably, in order to limit abuse-potential, one would want any ideal pleasure drug to be akin - in one limited but important sense - to nicotine, where the smoker's brain finely calibrates its optimal level: there is no uncontrolled dose-escalation.
Barack Obama|As far as your personal goals are and what you actually want to do with your life, it should never have to do with the government. You should never depend on the government for your retirement, your financial security, for anything. If you do, you're screwed.
Abdu'l-Bahá|.... just find your way, like a river settling into its bed, and the sigh of the wind over a lake, light but restful... content with the joy in the arc of an arm throwing a ball for a dog to fetch, the ease of the grassy slope stretching away, birds in the trees singing sweet high notes, flowers growing close in the ditch.
Ava Gardner|I wish to live to 150 years old, but the day I die, I wish it to be with a cigarette in one hand and a glass of whiskey in the other.
Jay Abraham, The Sticking Point Solution: 9 Ways to Move Your Business from Stagnation to Stunning Growth InTough Economic Times|How often had she wondered what would have happened if she'd remained with Jonathan? Not often, but regularly over the years. It was impossible not to have imagined that rejected future, a life of many countries, of vast and enduring adventure, of tiny rooms and rental houses. It was the sense of missed opportunity that returned to her, frightening but real, overwhelmingly real.
Anthony T. Hincks|When Mother Nature turns on us, I hope that she doesn't show the same compassion that we, humans, show to the environment and all the other life here on Earth.
Richard Dawkins, River Out of Eden: A Darwinian View of Life|The total amount of suffering per year in the natural world is beyond all decent contemplation. During the minute that it takes me to compose this sentence, thousands of animals are being eaten alive, many others are running for their lives, whimpering with fear, others are slowly being devoured from within by rasping parasites, thousands of all kinds are dying of starvation, thirst, and disease. It must be so. If there ever is a time of plenty, this very fact will automatically lead to an increase in the population until the natural state of starvation and misery is restored. In a universe of electrons and selfish genes, blind physical forces and genetic replication, some people are going to get hurt, other people are going to get lucky, and you won't find any rhyme or reason in it, nor any justice. The universe that we observe has precisely the properties we should expect if there is, at bottom, no design, no purpose, no evil, no good, nothing but pitiless indifference.
Cherise Sinclair, Make Me, Sir|Darlin’, I wasn’t just a Boy Scout, I was an Eagle Scout.
Ramana Pemmaraju|We have mainly been taught to just stay in the church, be faithful, serve the church, and serve the man of God.
Dwyane Wade|There's a certain darkness to Slipknot, but at the same time, there's a very strong dose of positivity. Stone Sour is the same way. There's a certain melancholy that comes with the slower stuff, but at the end of the day there's also that other side that is very positive. It's all how you deliver.
Lauren Oliver, Rooms|It was unfair that people could pretend to be one thing when they were really something else. That they would get you on their side and then do nothing but fail, and fail, and fail again. People should come with warnings, like cigarette packs: involvement would kill you over time.
George Eliot, Middlemarch|I regard the Klan, the Anglo-Saxon clubs and White American societies, as far as the Negro is concerned, as better friends of the race than all other groups of hypocritical whites put together.
