Dick Van Dyke, Keep Moving: And Other Truths About Living Well Longer|Aging is scary but fascinating, and great talent morphs in strange and often enlightening ways.
Richard Robinson, An Atheist's Values|There is one element in Christianity which was not borrowed from Paganism -- religious intolerance. Referring to Buddhism, Confucianism, and Taoism, a writer on China says: 'Between the followers of the three national religions there is not only a total absence of persecution and bitter feeling, but a very great indifference as to which of them a man may belong.... Among the politer classes, when strangers meet, the question is asked: 'To what sublime religion do you belong,' and each one pronounces a eulogium, not on his own religion, but on that professed by the others, and concludes with the oft-repeated formula 'Religions are many; reason is one; we are all brothers.
William Shakespeare, Romeo and Juliet|O serpent heart hid with a flowering face!Did ever a dragon keep so fair a cave?Beautiful tyrant, feind angelical, dove feather raven, wolvish-ravening lamb! Despised substance of devinest show, just opposite to what thou justly seemest - A dammed saint, an honourable villain!
Jerry Spinelli, Stargirl|Maybe I did hurt him, but I don’t think I could have hurt him much. He was one of the best-protected human beings who ever lives. People couldn’t get at him because he just wasn’t interested in people.
Heinrich Heine|One should forgive one's enemies, but not before they are hanged.
Charles Eastman|My family is no different from yours. We may be different from the geography that we come from. Some of you all may pray differently than I do, some of you all may be from a different ethnicity, but we all have the same story.
Angela Carter, The Lady of the House of Love|She has the mysterious solitude of ambiguous states; she hovers in a no-man’s land between life and death, sleeping and waking.
Robert Harbison, Eccentric Spaces|As we passed his table, I saw that the device that imprisoned the book was clever but wicked-looking, as though the critic were holding the work - and it's author - in bondage.
Charles Bukowski, South of No North|My objection to war was not that I had to kill somebody or be killed senselessly, that hardly mattered. What I objected to was to be denied the right to sit in a small room and starve and drink cheap wine and go crazy in my own way and at my own leisure.
Benny Bellamacina, Philosophical Uplifting Quotes volume 2|When penciling in your future, always use a pen
Adria J. Cimino, Close to Destiny|But why are you giving this to me if you don’t believe?""Because I know that you do.
Thomas Cleary, The Flower Ornament Scripture: A Translation of the Avatamsaka Sutra|In a universe of electrons and selfish genes, blind physical forces and genetic replication, some people are going to get hurt, other people are going to get lucky, and you won't find any rhyme or reason in it, nor any justice. The universe that we observe has precisely the properties we should expect if there is, at bottom, no design, no purpose, no evil, no good, nothing but pitiless indifference.
|In order to succeed greatly without limitations, you must perceive life as a journey of endless possibilities and opportunities.
Ausma Zehanat Khan, The Unquiet Dead|....in Bosnia, mass rape was a policy of the war, systematically carried out, implicating neighbors, paramilitaries, soldiers.
Alex Z. Moores, Living in Water|Adventure is found not in a fair wind, but rather in a raging tempest.
Jhumpa Lahiri, Unaccustomed Earth|The knowledge of death seemed present in both sisters—it was something about the way they carried themselves, something that had broken too soon and had not mended, marking them in spite of their lightheartedness.
Ruthie Knox, About Last Night|He trailed his eyes down over her beautiful breasts then told her, “You’re going to keep your mouth shut and I’m going togive you that Orgasm you asked for.” He thought for a moment she was going to tell him to get lost, but instead she leaned her head back against the wall and pushed her hips out toward him.
Susan Sontag, Reborn: Journals and Notebooks, 1947-1963|The Swedes have coined the term 'management by perkele' to portray the Finnish managerial approach. Instead of collectively pondering all the possible alternatives and letting every member of the staff from the cleaner to the MD voice their views, as the Swedes do, the Finns act swiftly and don't waste time on the decision-making process. If something isn't happening quickly enough, it is necessary for the top managers to slam their fists on the table and yell, 'Perkele!' Repeatedly, if necessary.
Mario Andretti|I started in comics in 2005, ten years ago, and at that time, I didn't have a cell phone. I don't even think I had a computer myself, you know. And just in those ten years, how much technology has changed.
Criss Jami, Killosophy|We men are fascinated by the things we don't really understand. It gives us something to think and talk about: like females, they drive us nuts.
Guy de Maupassant, Bel-Ami|You know, sometimes I even envy myself.
Victor Pelevin, Homo Zapiens|In reality, mankind is still metaphysically in God’s likeness, butGod’s image in mankind has been altered by sin. We can no longerduplicate or reflect God’s attitudes as we once could do. That is, we canno longer be holy as God is holy. Our morality has been altered and nolonger has the capability to duplicate or reflect God’s image. So what isthe answer? Can this image be repaired or made whole again? The answeris, YES!
