Jorge Luis Borges|Nothing is built on stone; All is built on sand, but we must build as if the sand were stone.
Andrew Krivak, The Sojourn|The Northwestern Carpathians, in which I was raised, were a hard place, as unforgiving as the people who lived there, but the Alpine landscape into which Zlee and I were sent that early winter seemed a glimpse of what the surface of the earth looked and felt and acted like when there were no maps or borders, no rifles or artillery, no men or wars to claim possession of land, and snow and rock alone parried in a match of millennial slowness so that time meant nothing, and death meant nothing, for what life there was gave in to the forces of nature surrounding and accepted its fate to play what role was handed down in the sidereal march of seasons capable of crushing in an instant what armies might--millennia later--be foolish enough to assemble on it heights.And yet there we were, ordered to march ourselves, for God, not nature, was with us now, and God would deliver us, in this world and next, when the time came for that.
Tracee Ellis Ross|If you see a person who's insecure and covers it up, it can be quite a problem. But the person who is insecure and shows you is quite appealing. They give you just the courage to drop your defenses.
Scarlett Dawn, King Hall|Sweetheart, Is today the day you run away alone in fear? Or the day you have the balls to trust in our friendship? Trust in the four of us. Together
M. Leighton, Everything for Us|I will spend an eternity loving you, caring for you, respecting you, showing you every day that I hold you as high as the stars.
Steve Sabol|The science of politics is the one science that is deposited by the streams of history, like the grains of gold in the sand of a river; and the knowledge of the past, the record of truths revealed by experience, is eminently practical, as an instrument of action and a power that goes to making the future.
Thomas Carlyle|Did anyone else have these moments of amazement over the existence of humanity, when they are in awe of how they are here, and alive, even if it's only for a short while?
Joe Abercrombie, The Heroes|He looked around at that one room, and the few things in it. He'd always thought retiring would be going back to his life after some nightmare pause. Some stretch of exile in the land of the dead. Now it came to him that all his life worth living had happened while he was holding a sword.Standing alongside his dozen. Laughing with Whirrun, and Brack, and Wonderful. Clasping hands with his crew before the fight, knowing he'd die for them and they for him. The trust, the brotherhood, the love, the knit closer than family. Standing by Threetrees on the walls of Uffrith, roaring their defiance at Bethod's great army. The day he charged at the Cunmur. And at Dunbrec. And in the High Places, even though they lost. The day he earned his name. Even the day he got his brothers killed. Even when he'd stood at the top of the Heroes as the rain came down, watching the Union come, knowing every dragged out moment might be the last.Like Whirrun said - you can't live more than that. Certainly not by fixing a chair.
Howell James|Choose thy friends like thy books, few but choice
Dia Reeves, Bleeding Violet|The rain echoed in the shadowy attic space and made me feel small and fragile, like a lace glove left behind on moving day - mateless and abandoned.
Jessica Warman, Breathless|The silence is becoming more poisonous and I have no one to talk with, not even my own self
Jude Watson, Nowhere to Run|In a surreal gift from the universe, time both stands still and flies past you in that singular moment when you find out someone you once loved is gone.
Stephen Richards, Develop Jedi Self-Confidence: Unleash the Force within You|The moment you become friends with your inner Self, you realize that the failures or hindrances that you met earlier were caused more by your disconnected status with your inner Being.
Carlos Fuentes, Todas las familias felices|A concrete love is a mass of emotion formed into a compound mixture of affection, care, desire and expectation.
N. Kazantzakis|It is almost banal to say so yet it needs to be stressed continually: all is creation, all is change, all is flux, all is metamorphosis.
Ashley Sarel|And she never knew that he laid awake the whole time, his lips at her temple, his hand against her hair.Whispering her name.Whispering other words as well.
Paul Theroux|In countries where all the crooked politicians wear pin-striped suits, the best people are bare-assed.
Caroline Gerardo, Cardinal Sin Vanity|When I grow up next year my life will be easy." Vanity
Christopher Moore, Lamb: The Gospel According to Biff, Christ's Childhood Pal|Regard mistakes as teachers, not judges!
Cassandra Clare, Clockwork Prince|Margaret liked this smile; it was the first thing she had admired in this new friend of her father's; and the opposition of character, shown in all these details of appearance she had just been noticing, seemed to explain the attraction they evidently felt towards each other.
