Sam Gayton|Every time you say it is impossible, you shoot yourself in the foot
Pythagoras|As long as Man continues to be the ruthless destroyer of lower living beings, he will never know health or peace. For as long as men massacre animals, they will kill each other. Indeed, he who sows the seed of murder and pain cannot reap joy and love.
Liz Weber, Something Needs to Change Around Here|How much of your time, at your “hourly rate,” is wasted each year because you’re cleaning up after your employees and fixing issues they’ve created or haven’t resolved themselves?
Ajahn Brahm|Everyone's life changes when they meet their Obi-Wan & their Yoda, or their Morpheus & their Oracle; those who help remove the veil.
Agatha Christie, Murder in Mesopotamia|It was due to his tact, to his judgment, to his sympathetic manipulation of human beings that the atmosphere had always been such a happy one... If there was a change, therefore, the change must be due to the man at the top.
Gregory David Roberts, Shantaram|It would be a dreadful thing to tell anyone about it, for it would destroy some fragile structure of truth. It was truth that might be shattered by division.
Shannon L. Alder|There is no failure in loving someone, only in never letting them know.
Jamie Freveletti|Awful first drafts are fine—Agree with this.If you don’t finish something, you’ll never get in the game. Just quell the voice in your head that says “Are you kidding? No one is going to want to read this drivel” and keep on going. You’re going to revise and revise and then revise again anyway.
H. Beam Piper, Little Fuzzy|But in college, we can wear our alcohol abuse as proudly as our university sweatshirts; the two concepts are virtually synonymous.
Andy Rooney|I've learned .... That when you harbor bitterness, happiness will dock elsewhere.
Christina Westover|Anything creative requires a bit of acting,and filling in blanks with imagination.
Dave Barry, Dave Barry's Complete Guide to Guys|[On writing:] "There's a great quote by Julius Irving that went, 'Being a professional is doing the things you love to do, on the days you don't feel like doing t
William Burton Pope|God demands a conversion of the mind and heart as the basis of peace and security (cf. Is 26:3), not the superstitious veneration of a stone building or a traditionally sacred site
David Eddings, Crystal Gorge|Sorgan tried his very best not to think about how long it must have taken for a stream that small to eat its way down through solid rock to form its current bed. Sorgan knew exactly what the word “hundred” meant, but when numbers wandered off toward “thousand”—or even “million”—and the people who used those terms were talking about years, Sorgan’s mind shied back in horror.
Yevgeny Yevtushenko|You cannot help being a female, and I should be something of a fool were I to discount your talents merely because of their housing.
Tyler Knott Gregson|For me, the consolation of history resides in the fact that hypothetically returning to any point in time feels like coming home.
Roger Mahony|I think of marriage as a garden. You have to tend to it. Respect it, take care of it, feed it. Make sure everyone is getting the right amount of, um, sunlight.
Edouard Manet|The product of mental labor - science - always stands far below its value, because the labor-time necessary to reproduce it has no relation at all to the labor-time required for its original production.
Alfonso X of Castile|We are to allow one thing to be really and truly distinct from the other, to be its own genuine self. There is a logical and philosophical urge in thinking men to reduce all things to a single unity. But this urge of the natural reason tends to petrify the heart. There is no single essence to which all existing things belong, no single essence which makes all things basically one. The only true unity of created things is the unity created by love. The heart embraces all things in their great variety and the heart loves them all.
Félix J. Palma, The Map of the Sky|It might even teach Murray that while finding true love was one of the most wonderful things that could happen to you in life, finding a friend was equally splendid.
Eric Samuel Timm, Static Jedi: The Art of Hearing God Through the Noise|Genius and science have burst the limits of space, and few observations, explained by just reasoning, have unveiled the mechanism of the universe. Would it not also be glorious for man to burst the limits of time, and, by a few observations, to ascertain the history of this world, and the series of events which preceded the birth of the human race?
Seth Godin, Poke the Box|To-day the woman is Mrs. Richard Roe, to-morrow Mrs. John Doe, and again Mrs. James Smith according as she changes masters, and she has so little self-respect that she does not see the insult of the custom.
Gretel Ehrlich, The Future of Ice: A Journey Into Cold|Love life first, then march through the gates of each season; go inside nature and develop the discipline to stop destructive behavior; learn tenderness toward experience, then make decisions based on creating biological wealth that includes all people, animals, cultures, currencies, languages, and the living things as yet undiscovered; listen to the truth the land will tell you; act accordingly.
