Timothy Egan|Like all great readers, he could create for himself a "wall of stillness".
Ibi Kaslik, Skinny|Heart lesson #3: post-heartbreak survival. The heart is resilient, I mean literally. When a body is burned, the heart is the last organ to oxidize. While the rest of the body can catch flame like a polyester sheet on campfire, it takes hours to burn the heart to ash. My dear sister, a near-perfect organ! Solid, inflammable.
Arshpreet Kaur|There is something strangely ecstatic, oddly fascinating and infinitely magnetic about unrequited love.
Peter Akinti, Forest Gate: A Novel|All you could do was hope for silence, for still air.
Muhammad Ali, The Soul of a Butterfly: Reflections on Life's Journey|One may, in a case of exigency, introduce the reader in to a nuptial chamber, not into a virginal chamber. Verse would hardly venture it, prose must not.It is the interior of a flower that is not yet unfolded, it is whiteness in the dark, it is the private cell of a closed lily, which must not be gazed upon by man so long as the sun has not gazed upon it. Woman in the bud is sacred. That innocent bud which opens, that adorable half-nudity which is afraid of itself, that white foot which takes refuge in a slipper, that throat which veils itself before a mirror as though a mirror were an eye, that chemise which makes haste to rise up and conceal the shoulder for a creaking bit of furniture or a passing vehicle, those cords tied, those clasps fastened, those laces drawn, those tremors, those shivers of cold and modesty, that exquisite affright in every movement, that almost winged uneasiness where there is no cause for alarm, the successive phases of dressing, as charming as the clouds of dawn,—it is not fitting at all that all this should be narrated, and it is too much to have even called attention to it.
Shuli Barzilai, Tales of Bluebeard and His Wives from Late Antiquity to Postmodern Times|Power,' as the sociologist Nachman Ben-Yehuda writes, 'enters the picture in two ways': the first entails constructing and legitimizing the moral system itself; the second, in enforcing it. In this view, 'deviants are those who simply do not have enough power to prevent others from defining them as such'.
Wendell Berry|From the union of power and money,from the union of power and secrecy,from the union of government and science,from the union of government and art,from the union of science and money,from the union of ambition and ignorance,from the union of genius and war,from the union of outer space and inner vacuity,the Mad Farmer walks quietly away.
Italian proverb|Once the game is over, the King and the pawn go back in the same box.
Jake Byrne, First and Goal: What Football Taught Me About Never Giving Up|The NFL determines your worth as a player, but only God knows your true worth. Players work long and hard through pain and suffering, injuries, and pushing themselves further than they imagined going—then poof ! A dream is gone. That kind of treatment can really mess with one’s self worth. Getting cut can be deemed a failure, the loss of a lifetime goal.Thankfully, as Christians our worth is not determined by mistakes ￼we’ve made, either accidentally or by stupid stuff we’ve purposely done. Neither is it determined by what anyone else thinks. Our worth is determined by what Jesus Christ has already done.
Sophie Kinsella, Confessions of a Shopaholic|A man will never love you or treat you as well as a store. If a man doesn’t fit, you can’t exchange him seven days later for a gorgeous cashmere sweater. And a store always smells good. A store can awaken a lust for things you never even knew you needed. And when your fingers first grasp those shiny, new bags…
Elizabeth Hoyt, Duke of Midnight|I really wondered why people were always doing what they didn't like doing. It seemed like life was a sort of narrowing tunnel. Right when you were born, the tunnel was huge. You could be anything. Then, like, the absolute second you were born, the tunnel narrowed down to about half the size. . . . I figured that, on the day you died, the tunnel would be so narrow, you'd have squeezed yourself in with so many choices, that you just got squashed.
Jennifer E. Smith, This Is What Happy Looks Like|Exactly. How can you know it makes you happy if you’ve never experienced it?”“There are different kinds of happy,” she said. “Some kinds don’t need any proof.
