Tom Hanks|If you're funny, if there's something that makes you laugh, then every day's going to be okay.
Astrid Lee Miles, Recovering is an Art|We learn to restrain ourselves as we get older. We keep apart when we have quarrelled, express ourselves in well-bred phrases, and in this way preserve a dignified alienation, showing much firmness on one side, and swallowing much grief on the other. We no longer approximate in our behaviour to the mere impulsiveness of the lower animals, but conduct ourselves in every respect like members of a highly civilised society.
Mark Twain|If we could establish a deep abiding relationship with nature, we would never kill an animal for our appetite; we would never harm, vivisect, a monkey, a dog, a guinea pig for our benefit. We would find other ways to heal our wounds, heal our bodies.
Susan Quinn, The Furious Improvisation: How the WPA and a Cast of Thousands Made High Art out of Desperate Times|Roosevelt spoke eloquently, in his penetrating tenor, of those 'who at this very moment are denied the greater part of what the very lowest standards of today call the necessities of life . . . I see one-third of a nation ill-housed, ill-clad, ill-nourished,' he told the audience, '. . . The test of our progress is not whether we add more to the abundance of those who have much; it is whether we provide enough for those who have too little.
Shujoy Chowdhury|Finding the FatherMy friend, this body offers to carry us for nothing– as the ocean carries logs. So on some days the body wails with its great energy; it smashes up the boulders, lifting small crabs, that flow around the sides.Someone knocks on the door. We do not have time to dress. He wants us to go with him through the blowing and rainy streets, to the dark house.We will go there, the body says, and there find the father whom we have never met, who wandered out in a snowstorm the night we were born, and who then lost his memory, and has lived since longing for his child, whom he saw only once… while he worked as a shoemaker, as a cattle herder in Australia, as a restaurant cook who painted at night.When you light the lamp you will see him. He sits there behind the door… the eyebrows so heavy, the forehead so light… lonely in his whole body, waiting for you.
Cameron Conaway, Caged: Memoirs of a Cage-Fighting Poet|Stories do not change, only the lives they live in do.
Susanna Clarke, Jonathan Strange & Mr Norrell|There are people in this world, whose lives are nothing but a burden to them. A black veil stands between them and the world. They are utterly alone. They are like shadows in the night, shut off from joy and all gentle human emotions, unable to even give comfort to each other. Their days are full of nothing but darkness, misery and solitude.
Kurt Vonnegut Jr.|Sometimes I think it is a great mistake to have matter that can think and feel. It complains so. By the same token, though, I suppose that boulders and mountains and moons could be accused of being a little too phlegmatic.
Abhijit Naskar|Psychics, astrology, tarot cards - all these mystical non-sense are signs of a weak mind. Whenever such garbage starts grabbing hold of you, seek the help of a physician or therapist.
A.W. Tozer, And He Dwelt Among Us: Teachings from the Gospel of John|I have my own matches and sulphur, and I'll make my own hell.
Sanjida Kay, The Stolen Child|He could have killed me for the blunder— which really wasn’t my fault— but I was lucky , and he gave me another chance. The two officers who questioned him were also incredibly lucky for not having had any idea who it was they’d been questioning.
Nell Zink, Mislaid|The easy joy and the joyful ease of sex with men, their easy-access genitalia, their uncomplicated inner lives…
Idries Shah|To say "yes" to the Sufi way is to say "no" to imagined escapes.
Robin Roberts|I’m grateful I had the strength to fight. It takes courage to believe the best is yet to come, especially when you are flat on your back and don’t know if you’re going to see tomorrow. I’m no Pollyanna, but I believe optimism is a choice — a muscle that gets stronger with use. Right foot, left foot…just keep moving.
