Anthony Burgess, Little Wilson and Big God: The First Part of the Confession|Nothing goes on forever. If it did, there wouldn't be anything else, would there?
David Abram, Becoming Animal: An Earthly Cosmology|When we speak of the human animal's spontaneous interchange with the animate landscape, we acknowledge a felt relation to the mysterious that was active long before any formal or priestly religions. The instinctive rapport with an enigmatic cosmos at once both nourishing and dangerous lies at the ancient heart of all we have come to call "the sacred". Temporarily forgotten, paved over yet never eradicated, this old reciprocity with the breathing earth was here long before all our formal religions, and it will likely outlast all our formal religions. For it has always been operative underneath our various religions, nourishing them from below like a subterranean river. There is no disdain for religion in such a statement. We can honor the awesome eloquence of each religion while acknowledging the precarious nature of church-based faiths in today's crowded and crisis-ridden world, where people of divergent scriptures must somehow learn to get along. Our greatest hope for the future rests not in the triumph of any single set of beliefs, but in the acknowledgment of a felt mystery that underlies all our doctrines. It rests in the remembering of that corporeal faith that flows underneath all mere beliefs: the human body's implicit faith in the steady sustenance of the air and the renewal of light every dawn, its faith in mountains and rivers and the enduring support of the ground, in the silent germination of seeds and the cyclical return of the salmon. There are no priests needed in such a faith, no intermediaries or experts necessary to effect our contact with the sacred, since - carnally immersed as we are in the thick of this breathing planet - we each have our own intimate access to the big mystery.
Jose Luis Borges|As a boy, I used to marvel that the letters in a closed book did not get scrambled and lost overnight.
Charlie Worsham|Coming up, the music of my era was very conscious. I grew up on Public Enemy, and it was popular culture to be aware. People were wearing Malcolm X T-shirts and Malcolm X hats. It was a very cool thing to know who Malcolm X was. It was all in the lyrics. It was trendy to be conscious and aware.
Michelle Hodkin, The Unbecoming of Mara Dyer|Every teenager in the world feels like that, feels broken or out of place, different somehow, royalty mistakenly born into a family of peasants. The difference in your case is that it's true.
Josephine Angelini, Witch's Pyre|Enemy," hiss the bushes all around. The rest of the Pride glided forward, surrounding Lily, Rowan, and Spike.
Margaret Atwood, Negotiating with the Dead|There's an epigram tacked to my office bulletin board, pinched from a magazine -- "Wanting to meet an author because you like his work is like wanting to meet a duck because you like pâté.
John Steinbeck, The Grapes of Wrath|Another thing I've been trying to do on my walks is to know what I'm looking at, when I'm looking at it. I want to be smart. When I walk down the sidewalk I see about a hundred different kinds of bugs and all I do is point at them like a caveman and say 'Ugh, look, a bug,' but I know each one of them must have a different name and a different reason why and how it came to be on the planet, and I don't know any of that stuff.
Marcel Proust, Swann's Way|Cucullus non facit monachum; that’s as much to say, as I wear not motley in my brain.
Poppet, Ryan|It's a heady aphrodisiac being exposed to his unique voice when he adopts that tone. His voice reverbs on a bunch of notes simultaneously. It's the first thing you notice about Ryan, his voice sounds like an orchestra playing a symphony composed by angels. It's most distracting until you grow immune to it, and now I'm back to completely infected with the Ryan voice virus.
Marcello Malpighi|Nature has but one plan of operation, invariably the same in the smallest things as well as in the largest, and so often do we see the smallest masses selected for use in Nature, that even enormous ones are built up solely by fitting these together. Indeed, all Nature's efforts are devoted to uniting the smallest parts of our bodies in such a way that all things whatsoever, however diverse they may be, which coalesce in the structure of living things construct the parts by means of a sort of compendium.
Liezi, Lieh-tzu: A Taoist Guide to Practical Living|Travel is such a wonderful experience! Especially when you forget you are traveling. Then you will enjoy whatever you see and do. Those who look into themselves when they travel will not think about what they see. In fact, there is no distinction between the viewer and the seen. You experience everything with the totality of yourself, so that every blade of grass, every mountain, every lake is alive and is a part of you. When there is no division between you and what is other, this is the ultimate experience of traveling.
Tommy Lasorda|Pressure is a word that is misused in our vocabulary. When you start thinking of pressure, it's because you've started to think of failure.
Earl M. Coleman|Ella had asked the writer how it felt to see her own works published. Seläntö had smiled sweetly at her and whispered, “You know what? It makes you understand why a dog eats its own vomit.
Hermann Hesse, Siddhartha|So she thoroughly taught him that one cannot take pleasure without giving pleasure, and that every gesture, every caress, every touch, every glance, every last bit of the body has its secret, which brings happiness to the person who knows how to wake it. She taught him that after a celebration of love the lovers should not part without admiring each other, without being conquered or having conquered, so that neither is bleak or glutted or has the bad feeling of being used or misused.
