Emily Roberson|Unfeeling thing that I was, the sensibilities of the maternal heart were Greek and Hebrew to me.
RYCJ|Never settle for half the story, and make-up and imagine the rest. Get the full Story!
Sarah Winman, When God Was a Rabbit|You said I could be anything I wanted when I was older', I said.She smiled and said, 'And you can be. But it's not very easy to become Jewish.''I know,' I said forlornly, 'I need a number.'And she suddenly stopped smiling.
Peter  Kirby, The Dead of Winter|David Thomas: What do you think is the worst crime that could possibly be committed? What is the crime that offends you most?David Bowie: Seeing a man humble himself in his capacity as a worker to somebody else, and having to have that accepted as a given situation.
Paul Gallico, Mrs. 'Arris Goes to Paris|She forced herself to stroll casually and appraise her plants. The wisteria was shedding its final leaves, the jasmine had long lost its flowers, but the autumn had been mild and the pink roses were still in bloom. Eliza went closer, took a half-opened bud between her fingers and smiled at the perfect raindrop caught within its inner petals. The thought was sudden and complete. She must make a bouquet, a welcome-home gift for Rose. Her cousin was fond of flowers, but more than that, Eliza would select plants that were a symbol of their bond. There must be ivy for friendship, pink rose for happiness, and some of the exotic oak-leaved geranium for memories...
Star Wars: The Force Awakens|From visible habits we make inferences as to the invisible attributes of the soul. Therefore, statecraft is soulcraft.
John O'Donohue, To Bless the Space Between Us: A Book of Blessings|Each of us is an artist of our days; the greater our integrity and awareness, the more original and creative our time will become.
Sunday Adelaja|We stand the risk of regression, because you refused to take risks. So life demands risks.
Matthew Lillard|I really realize the more movies I do just how important - it's so cliche when people say it, because everybody says it nowadays - but it's so important to keep it grounded. I totally understand what that means.
Walter Dean Myers|Books have always been among my most trusted of friends, Mr. Linden replied. The best of them allow the mind to wander wherever the author's musings lead.
Oliver Markus, Sex and Crime: Oliver's Strange Journey|Avoid using cigarettes, alcohol, and drugs as alternatives to being an interesting person.
Aayush Jain|The most amazing speeches are a mix of fear, expertise, and practice.
Jay Parini|I really think we should pass a law in every state, I don't care whether it takes the independence away from an old person or not. You shouldn't be driving a car if you're over the age of 80. Maybe even less than that.
Saumya Mohanty|Music That Brings, The Meaning Of our Life.Music That Shows, The Light From Our Soul.When This Music Touch Our Hear, We call it TRANCE.When This Music Control Our Emotion We call it "THE SENSATION OF TRANCE
J.K. Hogan, Blood in the Valley|But where would she go, Raven wondered. Where was home now that Drew was her heart?
Rose Christo, Gives Light|Everyone's life matters and everyone deserves to be happy but not everyone is in a place where they think, or even believe, happiness is possible.
Tina A. Morgan|Always try and be a better person than you were yesterday, cause we aren't guaranteed tomorrow.
Winston Graham, The Four Swans|Everyone," Ross said, "seems a little less concerned than I do. Am I more tender-hearted for others or only tender because of my own conscience?""We are not–untender," she said. "Not so. But maybe we are more–resigned. When a man is condemned to death we accept it, though it's sad to do so. We know we cannot change it. You hoped to change it–so it's more of a–a disappointment. You feel you have failed. We don't feel that because we never hoped to succeed.
Alison Umminger, American Girls|Roger was like the Edgar Allen Poe of stupid people. He'd been making movies about women who were dead or dying, who didn't have much to say, for as long as his stringy hair had been ponytailed into a cliché.
Maya Angelou, Gather Together in My Name|I found it hard to think of leaving my books. They had been my elevators out of the midden, and to whom could I entrust such close friends?
Murray N. Rothbard|Thomas Jefferson. . . knew what schools were for--to ensure that citizens would know when and how to protect their liberty. . . It would not have come easily to the mind of such a man, as it does to political leaders today, that the young should be taught to read exclusively for the purpose of increasing their economic productivity.
