Akash B Chandran|Use time and space; grow slowly into your dreams, infinity will fill you with peace.
Ziad K. Abdelnour|Mr. de Pinto, the dog who protects sheep quickly learns how to direct them, and it becomes a habit. The people have been trained by their 'watchmen' to jump, and to trample what the 'watchmen' want trampled."I have found, that those who would guard the people are their governors. The government admits that it is a government. The press pretends that it is not. But what a pretense! You orchestrate entire populations. And who elected you? No one. You are self-appointed, you speak for no one, and therefore you have no right to question me as if you represent the common good.
Peter Watts, Echopraxia|Your heavenly eyes are shining like a late night starTo be in heaven, I like to get lost in those eyes forever.
Cristina Marrero|If my God damns people for love but saves them for brutle warfare, then that is not the God I know or wish to worship.
Astrid Knowles, Switch|Pain is not the most important tool in Dominance and submission, yet it is a most worthy tool. Pain breaks down barriers and defences. And for intensifying the orgasm? There are few superior devices a Dom has to achieve such, other than varying degrees of pain.
Julius Evola|Dear Non-Black American,when you comes to the United States, you become black.No matter of your origin. Stop saying you are Liberian, Jamaican, Belizean, Nigerian,South African or Ghanaian. White America doesn't care about all that bull, that's why on the work application it doesn't give you the option to say Ghanaian or Jamaican, it says "African American.
Margaret Atwood, Payback: Debt and the Shadow Side of Wealth|As Charles Darwin said,'The economy shown by Nature in her resources is striking,'' says the Spirit. 'All wealth comes from Nature. Without it, there wouldn't be any economics. The primary wealth is food, not money. Therefore anything that concerns the handling of the land also concerns me.
Julia Child, My Life in France|Food, like a loving touch or a glimpse of divine power,has that ability to comfort.
James D. Maxon|Who should we be trying to make the most proud? Our family? Our friends? Our teachers or bosses? What about the one who molded us out of the earth itself, who formed us like clay, and instilled within us the very breath of life that shaped the universe?
Laura Fitzgerald, Veil of Roses|When one has no character, one HAS to apply a method. Here it did wonders incontrovertibly, and I am living on the site of one of the greatest crimes in human history.
Dejan Stojanovic|There is always the question why And there is always life, Which doesn't need an answer.
Julie Deshtor|Behind every legendary monster, there is an unknown tragedy.
Maureen Corrigan, Leave Me Alone, I'm Reading: Finding and Losing Myself in Books|The danger in reviewing and teaching literature for a living (is) you can develop a kind of knee-jerk superiority to the material you're "decoding
Manasa Rao|I'm not one of these people who are disheartened that the universe is expanding. But as news and data breed and the crowded channels grow ever noisier, I do feel that the space is ever increasing between me and it, whatever it might be.
Daphne du Maurier, Rebecca|Either you go to America with Mrs. Van Hopper or you come home to Manderley with me.""Do you mean you want a secretary or something?""No, I'm asking you to marry me, you little fool.
John Ringo, Islands of Rage & Hope|There are bad people out there, Jimmy. I don’t know if you’ve seen them… they walk around like they’re lost. And they make people sick by hurting them. That’s why we stay inside.
Haruki Murakami, The Wind-Up Bird Chronicle|A million years is a short time - the shortest worth messing with for most problems. You begin tuning your mind to a time scale that is the planet's time scale. For me, it is almost unconscious now and is a kind of companionship with the earth.
Henrik Ibsen, The Wild Duck|We will talk of this again, when the grass has first withered on her grave. Then you'll hear him spouting about "the child too early torn from her father's heart;" then you'll see him steep himself in a syrup of sentiment and self-admiration and self-pity. Just you wait!
