Joel Rosenberg|A man can be short and dumpy and getting bald but if he has fire, women will like him.
Bernard Werber, Empire of the Ants|The evil that is in the world comes out of ignorance, and good intentions may do as much harm as malevolence, if they lack understanding. One the whole, men are more good than bad; that, however, isn't the real point. But they are more or less ignorant, and it is this that we call vice or virtue; the most incorrigible vice being that of an ignorance that fancies it knows everything and therefore claims for itself the right to kill.
Erin Morgenstern, The Night Circus|It is a matter of perspective, the difference between opponent and partner," Tsukiko says. "You step to the side and the same person can be either or both or something else entirely. It is difficult to know which face is true.
Rodney Crowell|You know I love to spend my mornings, like sunlight dancing on your skin
Thomm Quackenbush, We Shadows|Whatever problems we encountered, we put there. If we trace the line back, every struggle derived from some decision we made. It is not chance, it is how we teach ourselves.
James McAvoy|I am delighted to be joining 'Guardian U.S.'s team as a weekly columnist, and to have the chance to address American and global current events on its distinguished platform. 'Guardian U.S.' brings the 'Guardian's hard-hitting investigative brand to a new focus on American news and opinion.
James Altucher|Sooner or later you must move down an unknown road that leads beyond the range of the imagination, and the only certainty is that the trip has to be made.
Jeff Rasley|My own experiences in the wild rank in value just behind the birth of my children, my wedding, and the memorial services and graduations I’ve attended. I am permanently affected by those solitary encounters with land, sky, and water, and all that’s contained within. I don’t really know if I am a better person because of them, but I am happier for them." Letters, The American Scholar, Autumn 2016
Christine Upton|If I were to measure my successes by the mistakes that I have made & only focus on the lessons that were learned along the way, then that in itself overall, would be a positive step in the right direction.
Jennifer Senior|If you can't do what you really want to do, then do the next best thing!
Candace Bushnell, Lipstick Jungle|The car was on the FDR drive now and, turning her head, she glanced out at the bleak brown buildings of the projects that stretched for blocks along the drive. Something inside her sank at the sight of all that sameness, and she suddenly felt defeated.She shifted uncomfortably in her seat. In the past year, she'd started experiencing these moments of desperate emptiness, as if nothing really mattered, nothing was ever going to change, there was nothing new; and she could see her life stretching before her--one endless long day after the next, in which every day was essentially the same. Meanwhile, time was marching on, and all that was happening to her was that she was getting older and smaller, and one day she would be no bigger than a dot, and then she would simply disappear. Poof! Like a small leaf burned up under a magnifying glass in the sun. These feelings were shocking to her, because she'd never experienced world-weariness before. She'd never had time. All her life, she'd been striving and striving to become this thing that was herself--the entity that was Nico O'Neilly. And then, one morning, time had caught up with her and she had woken up and realized that she was there. She had arrived at her destination, and she had everything she'd worked so hard for: a stunning career, a loving (well, sort of) husband, whom she respected, and a beautiful eleven-year-old daughter whom she adored.She should have been thrilled. But instead, she felt tired. Like all those things belonged to someone else.
Norman Spinrad|If you make a living, if you earn your own money, you're free - however free one can be on this planet.
Jo Baker, Longbourn|Barely grazing, detouring, then connecting.
Auliq Ice|These clever, amoral, inventive, destructive men, single-minded, selfish, emotionally cool, coolly attractive. I think I preferred them to the love of Jesus. They were so necessary, and not only to me. Without them we would still be living in mud huts, waiting to invent the wheel.
Carmen Dell'Orefice|In this age of the electronic media and the mass distribution of the printed word, God will hold us accountable if we do not now move the Book of Mormon in a monumental way.
