Guy de Maupassant, Original Maupassant Short Stories|A gardin is where you can find a whole spectrum of life, birth and death
Shiv Khera|Who made me laugh when I was growing was Chaplin and the Marx Brothers, and then moving on, there were so many that I was a writer for for many years: I was a writer for the Smothers Brothers, Lily Tomlin, then I started on 'Saturday Night Live' as the head writer the first year we started it.
Eminem|I was born in London, and went to school in Scotland - I used to be dead tired when I got home at night.
Lailah Gifty Akita|If you read, you will transform your life.
Mother Teresa|Let us make one point, that we meet each other with a smile, when it is difficult to smile. Smile at each other, make time for each other in your family.
Emily P. Freeman, Grace for the Good Girl: Letting Go of the Try-Hard Life|Issues arise not from expecting too much from people, but too little.
A. Violet End, The Billionaire Who Atoned to Me|I’ve got something for you,” he crooned, reaching down and putting my wedding band back on my finger. The huge diamond ring sparkled in a spotlight against the familiar darkness—the darkness of the bedroom where Tristan had perpetrated so many drug-induced sex acts against me. “You forgot your finest jewelry at home. Never leave home without it.
Ayn Rand|America's abundance was created not by public sacrifices to the common good, but by the productive genius of free men who pursued their own personal interests and the making of their own private fortunes. They did not starve the people to pay for America's industrialization. They gave the people better jobs, higher wages, and cheaper goods with every new machine they invented, with every scientific discovery or technological advance- and thus the whole country was moving forward and profiting, not suffering, every step of the way.
James Joyce|Because of lack of moral principle, human life becomes worthless. Moral principle, truthfulness, is a key factor. If we lose that, then there is no future.
Robert Peel|When I go to the gym, stretching is very important. For polo, you don't need too much strength so you don't want to build yourself up too much. It's all about flexibility.
Richelle E. Goodrich|For the real writers, every decision is either write or wrong.
Billy Graham, Billy Graham in Quotes|The Bible says that as long as we are here on earth, we are strangers in a foreign land. There are enemies to be conquered before we return home. This world is not our home; our citizenship is in heaven.
John Agno, Can't Get Enough Leadership: Book Notes & Coaching Tips|Musicians, like golfers, have to put their minds in the right place – trusting, confident, enjoying the pressure, being in present. And so forth. Otherwise, no amount of practice or “Time management” will make them better. The same is true in all professions: if you’re stuck in the Training Mindset, evaluating yourself, or thinking in the past or future, you will not perform up to your potential. You will waste a lot of time, be an inefficient performer, and likely assume you need to manage your time better. In reality you need to manage your thinking better. 
John Irving, Last Night in Twisted River|Sejal had not thought of her home, or of India as a whole, as cool. She was dimly aware, however, of a white Westerner habit of wearing other cultures like T-shirts—the sticker bindis on club kids, sindoor in the hair of an unmarried pop star, Hindi characters inked carelessly on tight tank tops and pale flesh. She knew Americans liked to flash a little Indian or Japanese or African. They were always looking for a little pepper to put in their dish.
Lisa Kleypas, Love in the Afternoon|Your party kicked so much ass!Even though you suck so much! It's like, instead of blood, your heart pumps liquid suck! But thanks for the beer!
David Agus|I travel the world visiting global health programs as an ambassador for the global health organization, PSI, and sometimes the disconnect I see is truly striking: people can get cold Coca Cola, but far too infrequently malaria drugs; most own mobile phones, but don't have equal access to pre-natal care.
