Marcia Lynn McClure, The Pirate Ruse|We should learn to smile as we fall, So much so as when we have it all.
Malti Bhojwani|He did not speak; merely looked at her with an expression she had seen traces of before but never fully understood until that moment. It was more apology than accusation---a dark stare of acknowledgment that told her he had long since seen his own fate in her actions, and had long since ceased to hold her responsible.
Stuart Dybek, Childhood and Other Neighborhoods: Stories|I'm not doing it for media attention, not doing it for sponsors, not for money.
Tim McGraw|Today, the growing economic and social pressures in our country are putting millions of women, children and families at increased risk of abuse and neglect, especially when families are denied basic support services and economic opportunity.
Dave Matthes, Bar Nights|Life will hack off your head and shit down your neck every chance it gets. I've found that consuming drugs and booze, listening to music and always having an excuse in the best way to tip the scales.
Michael Swanwick|Perfection is death,' Anastasia said. 'The world is imperfect, but if it weren't, who would love it?
Henry Ward Beecher|Do not mock my baby." He pulls away and strokes his palm over he seat. "She was my first love.""Well your current ... er ... girl, is getting jealous with all the attention you're paying your first love, and she has orifices you can stick things in without having your boy bits burnt off."He pulls me into him again and his mouth goes to work on my neck. “Fuck I love it when you talk dirty.
Steven Erikson, House of Chains|If we have, through grace, an interest in Him who is the Fountain, we may rejoice in him when the streams of temporal mercies are dried up.
Samuel Butler|Truth might be heroic, but it was not within the range of practical domestic politics.
Alejandro Jodorowsky|To be told that one can be dependent on one's parents until age 26 should strike a young person who wants to grow up as demeaning, not as something to celebrate.
Barack Obama|I've got daughters. Nine years old and six years old. First of all, I'm gonna teach them about values and morals. But if they make a mistake, I don't want them PUNISHED with a baby.
Andrew Bird|In battle, you forgive a man anything except an unwillingness to take risks. Sometimes you have to put it on the line.
Ernest Agyemang Yeboah|Just last week I was telling a dear friend how I'd rather not exist in a world where toxic thrives. There are so much enmity plaguing this creed, how we hurt others because we think our idea of faith is supreme, how our interpretation of knowledge is above theirs, how every little whisper we turn into a howl. We forget that only He knows. Our existence are but mysteries; who are we to scar, to burn, to leave marks, to solve this enigma for others, to play God.The Friday prayer sermon just this afternoon, spoke to me in such illuminating affirmations. Knowledge, especially in faith, is akin to Light. Light binds, not divides. We seek light not out of fear of the darkness but at a promise to gain clarity. This is our intimate journey, how we move towards that Light is ours to make. Like a blind man, like moths at night, a child yearning, just do not stand in their paths, my friend. Your forehead kisses the same Earth like they do, your knees bend the same curve, and each night, your spine collapses just the same. Do not be the lips that question an arm sleeved with tattoos or hair uncovered by cloth or sins not yours, instead be lips that observes silence, kindness and always, prayers for all. I hope your heart does not make space for words like "Kafir", "infidel", "shirk" and instead be a room with gardens and an ocean of calmness. Even our Beloved won't be a judge for another being; Let GodYou seek knowledge not to draw boundaries between yourself and others, you seek for this overwhelming gravity of unknowing needs you to always be finding ways to be closer to Him. You seek knowledge to know Him not to make known to others. You have every right to continue seeking, to have your palms heavenwards every night begging to be illuminated. This is your deeper conversation, go on, just you and God.
Marcel Proust, Swann's Way|They all seem infected with a vivaciousness that isn't common in our compound, and there are more smiles on their faces than I've ever seen at once. And yet as I watch them, I feel more intensely than ever the knowledge that I'm not one of them. For these moral humans, birthdays are a kind of countdown to the end, the ticking clock of a dwindling life. For me, birthdays are notches on an infinite timeline. Will I grow tired of parties one day? Will my birthday become meaningless? I imagine myself centuries from now, maybe at my three-hundredth birthday, looking all the way back to my seventeenth. How will I possibly be happy, remembering the light in my mother's eyes? The swiftness of Uncle Antonio's steps as he dances? The way my father stands on edge of the courtyard, smiling in that vague, absent way of his? The scene shifts and blues in my imagination. As if brushed away by some invisible broom, these people whom I've known my entire life disappear. The courtyard is empty, bare, covered in decaying leaves. I imagine Little Cam deserted, with everyone dead and gone and only me left in the shadows. Forever.
