Michael Faudet, Dirty Pretty Things|Unbutton, unzip, unclip, untie, undo, undress.”“Understood,” she replied.
Francine Rivers|Have you ever been to the beach and wanted to feed the seagulls? The problem is you tear off a little crust from your sandwich and toss it to one, and ten more show up. Toss a little more and a flock descends. You start to wonder: if I run out of bread, will I become the meal?Turkeys are different. They startle easily and run for the barn. In the wild, they run for the hills. Of course, they’re very tasty. Benjamin Franklin thought them majestic enough to be an emblem for our country. I’m sorry, but Thanksgiving would be downright depressing. There’s our national symbol lying stuffed and roasted and ready to carve up for hungry guests. And then we have the eagles. Our forefathers were trained in the Bible. […]They would have known Isaiah 40:31. “Those who wait upon the Lord will gain new strength; they will mount up with wings like eagles, they will run and not get tired, they will walk and not become weary.” They were making war on the greatest power in the world of the time; the world was watching them. What could this band of commoners do? What troubles me about our country today is how many seagulls there are, scrambling for more. Remember the movie “Finding Nemo”? “Mine, mine, mine!” And we sure have a lot of gutless turkeys running for the barn whenever hard decisions have to be made; like how to keep our country solvent so our children won’t be in soup lines… Where are the eagles? That’s what I want to know. Please, God, we need us some eagles!
Kate Mullane Robertson|In my childhood I use to think that those people who don't know how torespect women and can't control their sexual temptation are dickheadsbut now I realise that I was wrong ,those people who can't respectwomens and harm them are actually Anal one. And my thinking mkes meinsane then let it be because this way or that way I will accept yourhatred rather than stand with you and disrespect a women.
Richard Jefferies|It is science, and not religion, which has taught men that things are complex and difficult to understand.
Billy Marshall Stoneking|Successful resistance to temptation may result in an increase of moral muscle, but that is because one is going to need it. A temptation resisted may become more, not less, fierce.
Jess Walter, The Financial Lives of the Poets|(…) my money guy Richard is going without a tie now, like a politician who wants to appeal to the suffering common man (or perhaps every morning his firm takes the ties and shoelaces away from the brokers and financial planners to keep them from offing themselves)
Katie McGarry, Crash into You|I bunch Rachel's hair in my fist. The silky strands rub the spot between my fingers and I press my lips to her head. My heart hurts and soars and hurts again, all at the same time. I said I love her. Love her.
Leanne Hall, This is Shyness|There’s a pause so yawning I can’t help but think about what it would be like to lean in and kiss her, but if I’m getting the signals wrong then I’m about to destroy the best run we’ve had all evening. It’s been at least ten minutes since I’ve done or said anything stupid.
Samar Sudha|Mystery always there in my words, now these are knives and will shine like Swords" -Samar Sudha
John Wood|We had a policy of "no looking back". Once a decision was made, all members of our team were expected to stop talking about obstacles and instead focus intensely on solutions."Don't tell us all the reasons this might not work. Tell us all the ways it could work.
Edmund Burke, Reflections on the Revolution in France|Any government's condemnation of terrorism is only credible if it shows itself to be responsive to persistent, reasonable, closely argued, non-violent dissent. And yet, what's happening is just the opposite. The world over, non-violent resistance movements are being crushed and broken. If we do not respect and honour them, by default we privilege those who turn to violent means.
Ameen Rihani|I'm learning with my mom how to cook more Spanish food. I'm trying to make a good paella, but that's a real art.
Katie McGarry, Walk the Edge|Anyone who ever makes you the slightest bit uncomfortable, Breanna, you tell one of us. You're with Razor, which means you're family.
Marilyn Grey, The Life I Now Live|Maybe we aren't so very different after all. There's good and bad in both of us, and that's what binds us together, for better or worse.
