Kim Stanley Robinson, The Years of Rice and Salt|It is a long time ago. So many lives ago--I get them all confused, don’t you?
Louisa May Alcott|Far to our left I could see a commercial airliner on final approach to Soekarno-Hatta. Far to our right I could see the outline of tall city buildings. The imagery was hard to ignore. In the midst was an impoverished world filled with dangerous radicals. Some believed it was God’s will to crash airplanes into buildings. Some recruited children to self-detonate on buses and in coffee shops. It must be incredibly difficult to hold fast to hope when you live in such a world. It’s also hard to keep faith with humanity when religious ideology is used as an impetus for war. But I also believe that for every war there is a hero … and for me, Jakarta will always be Indira’s city.
Harold Robbins, Never Leave Me|The same thing that makes friendship so valuable is what makes it so tenuous: it is purely voluntary. You enter into it freely, without the imperatives of biology or the agenda of desire. Officially, you owe each other nothing.
Sunday Adelaja|Instead it is the Church hierarchy that is rather teaching congregation to be afraid of darkness, instead of teaching them to go with light to overcome darkness.
Rebekah Elizabeth Gamble|Other sovereign democratic states have central governments more corrupted other than our own, but most can fall back on unifying elements we lack: common ethnicity, a shared religion, or near-universal consensus on many fundamental political issues. The United States needs its central government to function cleanly, openly, and efficiently because it's one of the few things binding us together.
René Girard, I See Satan Fall Like Lightning|The essence of desire is to have no essential goal. Truly to desire, we must have recourse to people about us; we have to desire their desires.
Sarah Dessen, The Truth About Forever|But all I could think of was how when nothing made sense and hadn't for ages, you just have to grab onto anything you feel sure of.
Josephine de La Baume|I think the French have a romantic cliche that Englishmen have great style, great music, irony and sense of humour. Well, sometimes cliches are true.
Veerappa Moily|Everybody in America has been dependent on the government at some time. We owe everybody in America the right to vote and access to capital. What I say is, let's make America work, let's make democracy and free enterprise work for everybody.
Paulo Coelho, The Alchemist|If I could, I'd write a huge encyclopedia just about the words luck and coincidence
Derek Donais, MetalMagic: Talisman|His men had begun gathering the wounded or stunned into a small group some distance back up the slope. Here and there an animal or human stirred, but not many. There were few cries of pain or fear now. Mostly, it was eerily quiet. Even the insects had ceased their music.
Koos Kruger, Business Exit Companion: An Owner's Guide to Exit Planning and Unlocking Value|You wouldn’t get in a car and drive around aimlessly, hoping to eventually arrive at a pleasant destination. So why would you even consider doing this for your business?
Walter Kaufmann|Renouncing false beliefs will not usher in the millennium. Few things about the strategy of contemporary apologists are more repellent than their frequent recourse to spurious alternatives. The lesser lights inform us that the alternative to Christianity is materialism, thus showing how little they have read, while the greater lights talk as if the alternative were bound to be a shallow and inane optimism. I don't believe that man will turn this earth into a bed of roses either with the aid of God or without it. Nor does life among the roses strike me as a dream from which one would not care to wake up after a very short time.
P.D. James, The Lighthouse|Salcombe Hardy groaned: "How long, O Lord, how long shall we have to listen to all this tripe about commercial arsenic? Murderers learn it now at their mother's knee.
Francis Chan, Crazy Love: Overwhelmed by a Relentless God|Our greatest fear as individuals & as a church should not be of failure, but of suceeding at things in life that dont really matter.
Sabrina Jeffries, Dance of Seduction|She looked not so much composed as drawn inward. She was one of those people who are irrevocably, incurably honest and therefore both inflexible and vulnerable at the same time.
George S. Clason, The Richest Man in Babylon|As for time, all men have it in abundance.
C.S. Lewis|Child, to say the very thing you really mean, the whole of it, nothing more or less or other than what you really mean; that's the whole art and joy of words.
Frederick Douglass|Where justice is denied, where poverty is enforced, where ignorance prevails, and where any one class is made to feel that society is an organized conspiracy to oppress, rob and degrade them, neither persons nor property will be safe.
