Kemi Sogunle|You cannot be a light to others or yourself, if you have dark intentions in your heart.
Oscar Wilde, The Picture of Dorian Gray and Other Writings|What, unless biological science is a mass of errors, is the cause of human intelligence and vigour? Hardship and freedom: conditions under which the active, strong, and subtle survive and the weaker go to the wall; conditions that put a premium upon the loyal alliance of capable men, upon self-restraint, patience, and decision. And the institution of the family, and the emotions that arise therein, the fierce jealousy, the tenderness for offspring, parental self-devotion, all found their justification and support in the imminent dangers of the young.
J.R.R. Tolkien, Tolkien on Fairy-stories|Foxbrush sneezed again.He couldn't help himself. It's not something a fellow likes to do when a stunningly beautiful woman is leaning toward him with an expression on her face like Nidawi's wore. But sneezes are not prey to the wants or wishes of those inflicted with them. He sneezed so violently that he nearly knocked his forehead against Nidawi's exquisite little chin. She leapt back lightly, frowning at first, then shaking the frown into a rain of laughter.
Latika Teotia|He accepts life in all its facets, in all its climates and colors. He alone does not choose he accepts life unconditionally. He does not shun love; being a man he does not run away from women. As one who has known and experienced God, he alone does not turn his face from war. He is full of love and compassion, and yet he has the courage to accept and fight a war. His heart is utterly non violent, yet he plunges into the fire and fury of violence when it becomes unavoidable. He accepts the nectar, and yet he is not afraid of poison.
Glad Munaiseche|sometimes forgiving someone it's not because he's really sorry and deserved it, but because we were worthy of tranquility.
Erik Pevernagie|When the brain becomes too tired, the mind stops decrypting the perceptions in our mental world and surrenders willingly to the unguarded moments of life.For some time, the safeguards of our thinking pattern weaken and discontinue the decoding of the chips of daily reality.The mind picks the instants which are above suspicion, pure and innocent. ("Uber alle Gipfeln ist Ruh" )
Philip Zaleski, The Fellowship: The Literary Lives of the Inklings: J.R.R. Tolkien, C.S. Lewis, Owen Barfield, Charles Williams|Slavery received, but the prejudice to which it has given birth remains stationary.
Rick Yancey, The 5th Wave|In order to remember who you are, you have to have known it in the first place.
Bobby Hoffman, Hack Your Motivation: Over 50 Science-Based Strategies to Improve Performance|Leaders who nurture followers to be leaders, keep leading even when they retire, and they keep winning the admiration of leading leaders
Anne Rice, The Witching Hour|Three generations before I was the one meant for the necklace. I saw him when I was three years old, so clear and strong that he could slip his warm hand in mine, he could lift me in theair, yes, lift my body, but I refused him. I turned my back on him. I told him, You go back to the hell from which you came. And I used my power to fight him.
Dwayne Johnson|I really can't be bothered going to a barber. And shaving every morning, that's nightmarish. I spent my teenage years covered in tiny little bits of toilet paper.
Megan Westfield, Lessons in Gravity|We kiss for a long time, a good long time. I don’t even notice that it’s cold and I forget to be afraid because that’s just how good a kisser he is. His lips move above my lips. My lips ache for the touch of him, the softness of his skin. We keep kissing. My hands wrap themselves in his hair. His hand presses me close into him, as close as I can be against him, and he is solid, strong, amazing. My hands leave his hair and journey down to the sides of his face, still tingling.“We should keep going,” he says, voice gruff and husky again. I love when his voice sounds like that, deeper than normal. His lips puff out a little more, too. “You’re blushing.”I pull my lips in against each other like I’m still trying to taste him. I move my snowshoes off of his snowshoes. It’s tricky.“You’re a good kisser,” I say.“So are you.
