Joseph Prince|I like people and I like them to like me, but I wear my heart where God put it, on the inside.
Douglas Adams|In any solid, good relationship, it takes a while to trust someone.
Sarah Todd Hammer, Determination|The video was still playing, although I didn't know why. It seemed as if the able-bodied dancers were mocking me.
The Bhagavad Gita|For him who has conquered the min, the mind is the best of friends; but for one who has failed to do so, his mind will remain the greatest enemy. SB 6.6
Perry Farrell|I'm really interested in the current tech world because of my brother Michael. Since we were little kids, in the 1970s, he was dealing with the first computers. He works for the government.
Gordon B. Hinckley|We all have had our share of broken promises.. Learn from those who do not honor their words and put your focus on "Being Honorable" ~bns
Richard Llewellyn, How Green Was My Valley|And what does he feel?""He feels uneasy. A little afaid. Angry. Oddly, a hint of pride.""Good," Henry said. "ANd where are you?""Backstage."Henry shook his head gravely. "THere's no such thing as backstage. The play begins, and there's only the world it dramatizes. Now, where are you?""With my father, the president. In his chambers.""Right. With me. Your father. And now--this is important--do you love me?"Nelson considered this; or rather, Nelson, as Alejo, considered this."Yes," he said after a moment. "I do.""Good. Remember that. In every scene--even when you hate me, you also love me. That's why it hurts. Got it?"Nelson said that he did."Are you sure?""Yes.""Good. Because it does hurt," Henry said. "DOn't forget that. It's supposed to. Always.
Marcel Proust, Time Regained|If a road ends, that creates a great opportunity to develop new abilities to continue! Welcome every challenge in your life!
Howard J. Ross, Everyday Bias: Identifying and Navigating Unconscious Judgments in Our Daily Lives|The essence of diversity is the individual's experience of it. Diversity is about personalised shades of experience emanating from universal colours of humanity, but each person takes from the universal what is relevant to them and alters it by their own interpersonal experience.
Alexandra Adornetto, Hades|How can the strength of one man stand against Jake and an army of demons?""He can," I countered, "if he has the power of Heaven on his side. After all, Christ was a man.""He was also the Son of God, there's a difference.""Do you think they could have crucified him if he wasn't human?" I asked. "He was flesh and blood, just like Xavier. You've been here so long you underestimate the power of humans. They're a force of nature.
Miles Anthony Smith, Becoming Generation Flux: Why Traditional Career Planning is Dead: How to be Agile, Adapt to Ambiguity, and Develop Resilience|Adaptability is the name of the game; if you understand that you must now be adaptable and flexible, you will find a way to succeed in your career. If not, you will succumb to job market pressures.
Sunday Adelaja|To see the miracle, you must be the miracle.
Sara Quin|Unseen University had never admitted women, muttering something about problems with the plumbing, but the real reason was an unspoken dread that if women were allowed to mess around with magic they would probably be embarrassingly good at it…
Sandeep Jauhar|Without the patient, there is no healthcare.
L. Lionel Kendrick|Sportsmanship is definitely an important thing in all sports. In soccer, we all respect each other on such a high level, between Sweden and Brazil and Japan or whatever team it is.
Alyssa Brugman, Alex As Well|To Tengo, sexual desire was fundamentally an extension of a means of communication. And so, to look for sexual desire in a place where there was no possibility of communication seemed inappropriate to him.
Mehmet Murat ildan|I even felt a vicarious guilt, like a German meeting Jewish people in Poland who had never heard of the Holocaust, or that there were Jews in America, and trying to explain it to them. Ashea, I wished I could say. Ashea.
Mitt Romney|The young are adept at learning, but even more adept at avoiding it.
Holly Hood, Heart of Gypsies|Life is not kind. Who are you trying to kid, Kendall?” He sighed.
John Paul Warren|The Law was never given to gentiles but to Jews only, so why do so many gentiles struggle today with mixing law and grace?
Françoise Sagan, Dans un mois, dans un an|We make our own symbols, after the event has passed and begun to spoil.
Freya North, Chances|... Everything he feels, he feels strongly. Too strongly, sometimes. I think he freaks people out.
