Rand Olson, Children of Promise: The Ultimate Guide to Raising Healthy Kids|To enjoy true, vibrant health, increased awareness, effort, and focus are required.
Kevin  Walker, These Moments Pass: Poems|I learned a long, long time ago, that I could accomplish things in this place we call reality and yet still spend most of my time in the better reality of my mind.
Veronica Roth, Allegiant|It happened. It was awful. You aren't perfect. That's all there is. Don't confuse your grief with guilt."We stay in the silence and the loneliness of the otherwise empty dormitory for a few more minutes, and I try to let her words work themselves into me.
P.A. Speers, Type 1 Sociopath - When Difficult People Are More Than Just Difficult People|The toxic behaviors were there before you decided to enter into relationships with them. The signs were there. You may have chosen to look the other way, but the signs were there.—Psychotherapist from Type 1 Sociopath
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|You can't see both sides of one coin at once, can you, child? The god of money always keeps a secret.The god of money was also the god of spies.
Alaric Hutchinson, Living Peace|Be honest. This applies to every area of your life. Sketchiness is not an attractive trait. No more trying to cover up your baggage, sweeping things under the rug, withholding truth, blatant lying, or even telling seemingly ‘harmless’ white lies or half-truths – release the need to lie completely! Start NOW.
Nicola Yoon, The Sun Is Also a Star|And what about the lovers who spend hours staring into each other's eyes? Is it a display of trust? 'I will let you in close and trust you not to hurt me while I'm in this vulnerable position.' And if trust is one of the foundations of love, perhaps the staring is a way to build or reinforce it. Or maybe it's simpler than that.A simple search for connectionTo see.To be seen.
Dorothy Parker, The Portable Dorothy Parker|Little WordsWhen you are gone, there is nor bloom nor leaf,Nor singing sea at night, nor silver birds;And I can only stare, and shape my griefIn little words.I cannot conjure loveliness, to drownThe bitter woe that racks my cords apart.The weary pen that sets my sorrow downFeeds at my heart.There is no mercy in the shifting year,No beauty wraps me tenderly about.I turn to little words- so you, my dear,Can spell them out.
Chris Damian|Why, since folly or perversity is expected of individuals, should we expect anything else from government?
Cassandra Clare, City of Bones|Cats are the lap-dancers of the animal world. Soon as you stop shelling out, they move on, find another lap. They're furry little sociopaths. Pretty and slick -- in love with themselves. When's the last time you saw a seeing-eye cat?
Joseph Abbruscato, The Gothic Fairy Tale in Young Adult Literature: Essays on Stories from Grimm to Gaiman|Children are more able to objectively synthesize a story involving vampires, monsters, or dragons due to the distance afforded by the fantastical elements than they are a story revolving around horrors committed by human beings.
Carol Goodman, The Lake of Dead Languages|The next time you think you're perfect, try walking on water.
Jon Scieszka|Sometimes I'll be sitting with my friends; I'll say something Koothrappali-esque and make a face. There is a lot of Koothrappali in me as a human being. A lot of mannerism, humor, mischievousness, my innocence. So I don't know if I bring him home so much as I bring myself to him at work.
Willard Van Orman Quine, Theories and Things|(...) the woman we love ought to swim as slowly as we do, she ought to have no past of her own to look back on happily. But when the illusion of absolute identity vanishes (the girl looks back happily on her past or swims faster), love becomes a permanent source of the great torment we call litost.
Taylor Swift|He didn't want to get his hopes up, but he also refused to be a pessimist about this moment. Everything could go either way.
Susanna Kearsley, The Winter Sea|A grieving person's like a person treading in deep water--if they've nothing to hold on to, they lose hope. They slide right under.
Eddie Huang, Fresh Off the Boat: A Memoir|If you ever find yourself in a jam, just take a moment to sit and think; calculate things, look at every angle, and then wonder where all that jam came from.
