Faisal Nawaz Maitlo|Those people make us strong and then valuable, whom we do not like initially.
James C. Dobson, Life on the Edge: The Next Generation's Guide to a Meaningful Future|I most likely like books which are out of my language... English... for example is a great example - Not my native language, but I enjoy the covers and how the words sound.
Amy Bass|Rhythm is everything in boxing. Every move you make starts with your heart, and that’s in rhythm or you’re in trouble. Your rhythm should set the pace of the fight. If it does, then you penetrate your opponent’s rhythm. You make him fight your fight, and that’s what boxing is all about.
Eric Samuel Timm, Static Jedi: The Art of Hearing God Through the Noise|The more we have of Jesus, the greater the love we have; the greater the love, the greater the sacrifice; the greater the sacrifice, the more we become like Jesus; the more we become like Jesus, the more successful our local churches become.
Rebecca Hall|My dad has kind of been the standard for me, he played 16 years in the league, and since I've been in the league, every year that I go through and deal with the scratches, the bumps and bruises, just the grind that it is to go through one NBA season.
William Shakespeare, Much Ado About Nothing|Suffer love! A good ephitet! I do suffer love indeed, for I love thee against my will.
Blake Lively|My mom and dad always taught acting, so instead of getting me babysitters, they would just bring me to class.
James Emlund|Even over the sound of a thousand voices...I still can hear my own, only after I listened to hers.
Laura Dave, The Divorce Party|We have to figure out how to let go, and forgive. This is our job
Agatha Christie, Third Girl|The Roar of the engine penetrated through Bertram's Hotel from the street outside. Colonel Luscombe perceived that Ladislaus Malinowski was one of Elvira's heroes. "Well," he thought to himself, "better than one of those pop singers or crooners or long-haired Beatles or whatever they called themselves." Luscombe was old-fashioned in his views of young men.
Nicholas D. Kristof, Half the Sky: Turning Oppression into Opportunity for Women Worldwide|Here, in impoverished northern India state of Bihar, near the Nepalese border, there's not much else available commercially-- except sex.
Billy Graham, Billy Graham in Quotes|Pleasure depends on circumstances, but Christian joy is completely independent of health, money, or surroundings.
Deyth Banger|Which is my favourite book??Very complicated question... so far... I think that the question should be "My favourite books...!".
Brennan Manning, The Ragamuffin Gospel: Good News for the Bedraggled, Beat-Up, and Burnt Out|Several times in my ministry people have expressed the fear that self-acceptance will abort the ongoing conversion process and lead to a life of spiritual laziness and moral laxity. Nothing could be more untrue. The acceptance of self does not mean to be resigned to the status quo. On the contrary, the more fully we accept ourselves, the more successfully we begin to grow. Love is a far better stimulus than threat or pressure.
Mary Doria Russell, The Sparrow|we all make vows, Jimmy. And there is something very beautiful and touching and noble about wanting good impulses to be permanent and true forever," she said. "Most of us stand up and vow to love, honor and cherish someone. And we truly mean it, at the time. But two or twelve or twenty years down the road, the lawyers are negotiating the property settlement." "You and George didn't go back on your promises." She laughed. "Lemme tell ya something, sweetface. I have been married at least four times, to four different men." She watched him chew that over for a moment before continuing, "They've all been named George Edwards but, believe me, the man who is waiting for me down the hall is a whole lot different animal from the boy I married, back before there was dirt. Oh, there are continuities. He has always been fun and he has never been able to budget his time properly and - well, the rest is none of your business." "But people change," he said quietly. "Precisely. People change. Cultures change. Empires rise and fall. Shit. Geology changes! Every ten years or so, George and I have faced the fact that we have changed and we've had to decide if it makes sense to create a new marriage between these two new people." She flopped back against her chair. "Which is why vows are such a tricky business. Because nothing stays the same forever. Okay. Okay! I'm figuring something out now." She sat up straight, eyes focused somewhere outside the room, and Jimmy realized that even Anne didn't have all the answers and that was either the most comforting thing he'd learned in a long time or the most discouraging. "Maybe because so few of us would be able to give up something so fundamental for something so abstract, we protect ourselves from the nobility of a priest's vows by jeering at him when he can't live up to them, always and forever." She shivered and slumped suddenly, "But, Jimmy! What unnatural words. Always and forever! Those aren't human words, Jim. Not even stones are always and forever.
