Thomas Huxley|I'm not broke. Like everybody else, I owe money.
Star Wars: The Force Awakens|If you live long enough, you see the same eyes in different people
Ralph Waldo Emerson|We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.
Anthony Trollope, Can You Forgive Her?|She was as one who, in madness, was resolute to throw herself from a precipice, but to whom some remnant of sanity remained which forced her to seek those who would save her from herself.
Antoine François Prévost d'Exiles, Manon Lescaut|Believe it or not, you and your enemies want many of the same things and share values.
Elizabeth Gilbert, Eat, Pray, Love|It is always thus, impelled by a state of mind which is destined not to last, we make our irrevocable decisions
Mike Klepper|Every revolution begins with breakfast,’ I quoted as they left. ‘Is this your revolution, Jaxon?
Auliq Ice|Everthing-absolutely everything-will be my I love you, Eppie.
Rebecca McKinsey, Anterria|Even in its darkest passages, the heart is unconquerable. It is important that the body survives, but it is more meaningful that the human spirit prevails.
Dave Barry|Eating rice cakes is like chewing on a foam coffee cup, only less filling.
Warren Ellis, Gun Machine|Jim Rosato was recently married, to a Greek nurse. Rosato was half Irish and half Italian, and there was a pool on at the 1st as to which of the two would arrive at work wearing the other's skin as a hat within the year.
Suzanne Finnamore, The Zygote Chronicles|If there's one thing I hate, it's not knowing what's wrong with someone and all you want to do is make them feel better.
Sameh Elsayed|The universe is a life giving force that is part of us. It flows in harmony through us guiding our every step. It maintain the harmony and flow of life. It gives us the passion and the knowledge we need to live and be inspired by. Yet in return, it is inspired by the human spirit
Boyd K. Packer|It is a painful thing to say to oneself: by choosing one road I am turning my back on a thousand others. Everything is interesting; everything might be useful; everything attracts and charms a noble mind; but death is before us; mind and matter make their demands; willy-nilly we must submit and rest content as to things that time and wisdom deny us, with a glance of sympathy which is another act of our homage to the truth.
Cristin Harber, Winters Heat|Okay. Scrabble, donuts, flowers, corndogs, pre-pubescent British wizards and indie music. Am I missing anything important?”She’s still blushing and it’s like the heat in her face is trapping all the words inside of her. “What is it?” I ask, an involuntary grin tugging on my mouth. I love it when she blushes like this.Amy sighs, looks up toward the chandelier, “You, Cole. I like you.
Khaled Hosseini, The Kite Runner|A creative writing teacher at San Jose State used to say about clichés: 'Avoid them like the plague.' Then he'd laugh at his own joke. The class laughed along with him, but I always thought clichés got a bum rap. Because, often, they're dead-on. But the aptness of the clichéd saying is overshadowed by the nature of the saying as a cliché.
Dietrich Bonhoeffer, The Cost of Discipleship|The earthly form of Christ is the form that died on the cross. The image of God is the image of Christ crucified. It is to this image that the life of the disciples must be conformed; in other words, they must be conformed to his death (Phil 3.10, Rom 6.4) The Christian life is a life of crucifixion (Gal 2.19) In baptism the form of Christ's death is impressed upon his own. They are dead to the flesh and to sin, they are dead to the world, and the world is dead to them (Gal 6.14). Anybody living in the strength of Christ's baptism lives in the strength of Christ's death.
Thomm Quackenbush, Pagan Standard Times: Essays on the Craft|We can learn a lot about a person in the very moment that language fails them. In the very moment that they have to be more creative than they would have imagined in order to communicate. It’s the very moment that they have to dig deeper than the surface to find words, and at the same time, it’s a moment when they want to communicate very badly. They’re digging deep and projecting out at the same time. […] The idea is that the psychology of people is going to live right inside those moments when their grammar falls apart and, like being in a shipwreck, they are on their own to make it all work out.
