Jules Renard|Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.
Cindi Madsen, Cinderella Screwed Me Over|If you continue to touch me,” he said, his eyes flashing, searing into her, “you’re going to end up in this tub with me.
Harry Dean Stanton|We believe that an Iraqi founding national assembly, freely elected, must decide the future of Iraq.
Adam Levin, The Instructions|When you feel like things are out of control, you take control.Yeah, that's what you do. Take control.So, yeah.Oh, yeah.
J. Leigh Bralick, Down a Lost Road|No doubt, humans will do a lot of damage before we ultimately destroy ourselves. But life will continue without humans. New forms of intelligence will emerge long after this human experiment is over.
Simon Kurt Unsworth, The Devil's Detective|Indeed the safest road to Hell is the gradual one—the gentle slope, soft underfoot, without sudden turnings, without milestones, without signposts,
Dan Millman, Way of the Peaceful Warrior: A Book That Changes Lives|Life has three rules: Paradox, Humor, and Change.- Paradox: Life is a mystery; don't waste your time trying to figure it out.- Humor: Keep a sense of humor, especially about yourself. It is a strength beyond all measure- Change: Know that nothing ever stays the same.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|My life changed the day I moved beyond just wishing for things and I started earning them. That is the day I learned that we don't get what we wish for, we get what we work for.
Christopher Hitchens, For the Sake of Argument: Essays and Minority Reports|We trace the hand of the Almighty in framing the constitution of our land, and believe that the Lord raised up men purposely for the accomplishment of this object, raised them up and inspired them to frame the Constitution of the United States
Samuel Taylor Coleridge, The Rime of the Ancient Mariner|Ah! well a-day! what evil looks Had I from old and young! Instead of the cross, the Albatross About my neck was hung.
Jojo Moyes, Me Before You|I didn't say much; my head was still ringing with the music, and I didn't want it to fade. I kept thinking back to it, the way that Will's friend had been so lost in what he was playing. I hadn't realized that music could unlock things in you, could transport you to somewhere even the composer hadn't predicted. It left an imprint in the air around you, as if you carried its remnants with you when you went.
Thiruvalluvar, Thirukkural|I saw some religious people praying in the temples, churches and another just helping on the streets
Patrick J. Adams|On my mom's side I'm Mexican, and my dad is a white dude.
Jean-Christophe Rufin, The Santiago Pilgrimage: Walking the Immortal Way|The spirit of the way is surely there, in the wish to wander through the world in order to escape it and to find others where there is nobody.
Cliff James, Of Bodies Changed|One way or another, we spend our whole lives being conditioned into accepting some line or order, some position of domination or subjection. It’s hard to unlearn such hierarchy, to undo such control. It’s implicit.
David S. Rose|If there exists no possibility of failure, then victory is meaningless.
Carol Matas, The Freak|As for sex. Well, of course I could’ve had sex. Guys will have sex with a watermelon if they’re desperate enough. Lots of girls try to prove their love by having sex. It only proves they’re having sex.
J.C. Joranco|For his lunch break, Alex decided to sit outside for a smoke. There was no break room to speak of, just a backdoor that led to a neglected parking lot and an old payphone. There was an upturned crate by the door used to hold the door open or to sit on if one so desired. But Alex couldn't sit down, even though he had been standing for the past four hours, his anxious mind kept his feet moving.He paced back and forth, smoking his cigarette with the speed of an anxious drug addict. The cool but faint breeze pushed the smoke away from him and dissipated it into nothing. He still felt angry about the run-in with Gonzalez. It had consistently poked at him like a curious sadist with a pointed stick ever since he walked away from the door slammed in his face.
Rick Riordan, The Lost Hero|We got lots of secrets, Will. You Apollo guys can't have all the fun. Our campers have been excavating the tunnel system under Cabin Nine for almost a century. We still haven't found the end. Anyway, Leo, if you don't mind sleeping in a dead man's bed, it's yours-Jake Suddenly Leo didn't feel like kicking back. He sat up, careful not to touch any of the buttons. The counselor who died-this was his bed-Leo Yeah. Charles Beckendorf-Jake Leo imagined saw blades coming through the mattress, or maybe a grenade sewn inside the pillows. He didn't, like, die IN this bed, did he-LeoNo. In the Titan War, last summer-JakeThe Titan War, which has NOTHING to do with this very fine bed-Leo"The Titans," Will said, like Leo was an idiot. The big powerful guys that ruled the world before the gods. They tried to make a comeback last summer. Their leader, Kronos, built a new palace on top of Mount Tam in California. Their armies came to New York and almost destoyed Mount Olympus. A lot of demigods died trying to stop them-WillI'm guessing this wasn't on the news-LeoIt seemed like a fair question, but Will shook his head in disbelief. You didn't hear about Mount St. Helens erupting, or the freak storms across the country, or that building collapsing in St Louis-WillLeo shrugged. Last summer, he'd been on the run from another foster home. Then a truancy officer caught him in New Mexico, and the court sentenced him to the nearest correction facility-the Wilderness School. Guess I was busy-LeoDoesn't matter. You were lucky to miss it. The thing is, Beckendorf was one of the first casualties, and ever since then-JakeYour cabin's been cursed-Leo
