Victoria Schwab, Our Dark Duet|If you want to prosper, prosper God.
Fareed Zakaria, In Defense of a Liberal Education|In 1778, Jefferson presented to the Virginia legislature "A Bill for the More General Diffusion of Knowledge," in which he argued that all forms of government could degenerate into tyranny. The best way of preventing this, he wrote, is "to illuminate, as far as practicable, the minds of the people at large." The study of history could serve as an especially effective bulwark, allowing the people to learn how to defeat tyranny from past examples. Jefferson would return again and again to the importance of education in a democracy.
Billy Graham, Billy Graham in Quotes|The evangelistic ministry is a fight, not a frolic.
Sarah  Newton|We have to learn to remind the other parents who think we're being careless when we loosen our grip that we are actually trying to teach our children how to get along in the world, and that we believe this is our job. A child who can fend for himself is a lot safer than one forever coddled, because the coddled child will not have Mom or Dad around all the time, even though they act as if he will.
John Kenneth Galbraith|Storytelling helps us understand each other, translate the issues of our times, and the tools of theater and film can be powerful in helping young people to develop communication/collaboration skills, let alone improving their own confidence.
Scott Stabile|We are powerful beyond measure,and we must stand powerfully in the face of injustice and hate.United.
T.E. Lawrence, Correspondence with Bernard & Charlotte Shaw 1927|It may be worth while to illustrate this view of classification, by taking the case of languages. If we possessed a perfect pedigree of mankind, a genealogical arrangement of the races of man would afford the best classification of the various languages now spoken throughout the world; and if all extinct languages, and all intermediate and slowly changing dialects, were to be included, such an arrangement would be the only possible one. Yet it might be that some ancient languages had altered very little and had given rise to few new languages, whilst others had altered much owing to the spreading, isolation, and state of civilisation of the several co-descended races, and had thus given rise to many new dialects and languages. The various degrees of difference between the languages of the same stock, would have to be expressed by groups subordinate to groups; but the proper or even the only possible arrangement would still be genealogical; and this would be strictly natural, as it would connect together all languages, extinct and recent, by the closest affinities, and would give the filiation and origin of each tongue.
Kiana Davenport, Shark Dialogues|Time, the thing we can't beat back... Yet, time is also what it takes to heal, what it takes for certain memory cells to die. Maybe time doesn't heal. Maybe it doesn't even pass. We pass through time, and come out stunned, so rage, and memory, are blurred.
Alin Sav|If we would spend as much time with the world as we spend going to church, the church would grow.
Robert Redford|I'm very fond of Tennessee Williams' plays, and when my husband and I went to New Orleans in the late 1970s, we saw 'A Street Car Named Desire.'
William Glasser|If you put down a list of jobs, doctor, lawyer, janitor, teacher or movie star, everybody would pick the movie star. And why? So you could lie around the pool, drink margaritas and send money to your parents. So that's what I did.
Cora Carmack, Finding It|As much as childhood was the greatest thing that most of us have ever experienced, with it characterized by our care free attitude and our thirst and hunger to live life on each given day to the fullest. I love where my life is now, after all life was never intended for us to go backwards but simply for us to reminisce and keep moving forward.
Moonshine Noire|...few truly understood how disheartening it was to be cut off from worlds so strange and distant they remained to us fantasies rather than distant realities, too surreal and foreign to be touched. Their minds were fixated on what they knew to be real, unable to create the atmospheres of the nebulous realms that lay just beyond our reach, just beyond the dimming horizon, our celestial limits.
