David Archuleta, Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance|I made up my mind not to care so much about the destination, and simply enjoy the journey.
Lauren Willig, The Seduction of the Crimson Rose|For a long moment, he held her gaze without speaking, simply letting the impact of words sink in, before adding rapidly, as though he wished to get it over with as quickly as possible, "I won't deny that you're beautiful. No mirror could tell you otherwise. But there are beautiful women for the buying in any brothel in London. Oh yes, and the ballrooms, too, if one has the proper price. It wasn't your appearance that caught me. It was the way you put me down in the gallery at Sibley Court." Vaughn's lips curved in a reminiscent smile. "And the way you tried to bargain with me after." bargained," Mary corrected."That," replied Lord Vaughn, "is exactly what I mean. Has anyone ever told you that you haggle divinely? That the simple beauty of your self-interest is enough to bring a man to his knees?"Mary couldn't in honesty say that anyone had.Vaughn's eyes were as hard and bright as silver coins. "Those are the reasons I want you. I want you for your cunning mind and your hard heart, for your indomitable spirit and your scheming soul, for they're more honest by far than any of the so-called virtues.""The truest poetry is the most feigning?" Mary quoted back his own words to him."And the most feigning is the most true.
Bibhu Datta Rout, Wheels Of Wish|You don’t like to talk to people, do you? I mean, slamming the door in my face was a clue that was hard to miss. I’m perceptive like that.
Anonymous|The rich can be "eccentric " the poor have to be considered "nuts."
ETC Wanyanwu|I walk, talk and act like a king even though I know there's no royalty in my bloodline
Mustafa Kemal Atatürk|Unless a nation's life faces peril, war is murder.
Paul Mellon|Each solstice is a domain of experience unto itself. At the Summer Solstice, all is green and growing, potential coming into being, the miracle of manifestation painted large on the canvas of awareness. At the Winter Solstice, the wind is cold, trees are bare and all lies in stillness beneath blankets of snow.
Bobby F. Kimbrough Jr.|My thoughts produce emotions which produces action; thus, the action is the outcome of the thought. Show me a man's actions and I can tell you of his thoughts. What are your thoughts?
Mihaly Csikszentmihalyi, Creativity: Flow and the Psychology of Discovery and Invention|After curiosity, this quality of concentrated attention is what creative individuals mention most often as having set them apart in college from their peers. Without this quality, they could not have sustained the hard work, the ‘perspiration.’ Curiosity and drive are in many ways the yin and the yang that need to be combined in order to achieve something new.
Victor Hugo|Gabriel.This has to be his fault, somehow. I'm going to track him down, pluck out his angel feathers, and stuff a pillow with them.
Tiffany Madison|Of all the religions in the world, perhaps the religion of liberty is the only faith capable of purity.
Patrick T. McCormick, A Banqueter's Guide To The All-Night Soup Kitchen Of The Kingdom Of God|The government of Pakistan is yet to understand that the insurgency is not the disease but the symptoms of the disease. If the government really needs to cure the crisis in the area, then it must engage in genuine treatment procedure rather than engage in ad hoc solutions that go under the motto: picked up, killed, and dumped. Kidnapping the target and dumping his or her bullet riddled and tortured corpse in a public place to scare the people in the area is a military strategy which aims to provide a lesson to those who still retain seeds of resistance. If this is the only solution that the government is capable of then it will have to commit genocide against the people of Balochistan so that it can continue to steal their natural resources and have total control of the province.
Rick Riordan, The Titan's Curse|Annabeth frowned. "That doesn't make sense. But why were you visiting --" Her eyes widened. "Hermes said you bear the curse of Achilles. Hestia said the same thing. Did you . . . did you bathe in the River Styx?""Don't change the subject.""Percy! Did you or not?""Um . . .maybe a little.
William O. Douglas, The Douglas Letters: Selections from the Private Papers of Justice William O. Douglas|As nightfall does not come at once, neither does oppression. In both instances, there is a twilight when everything remains seemingly unchanged. And it is in such twilight that we all must be most aware of change in the air – however slight – lest we become unwitting victims of the darkness.
Charles Mingus|Creativity is more than just being different. Anybody can play weird-- that's easy. What's hard is to be as simple as Bach. Making the simple complicated is commonplace--making the complicated simple, awesomely simple--that's creativity.
