Tim O'Brien, The Things They Carried|Men killed, and died, because they were embarrassed not to.
Amine Fatmi|I remember touching her hand for the first time. I remember kissing her angelic soft lips for the first time . Everything seemed so easy , everything seemed possible . She smiled at me and flew away
Katie Klein, Cross My Heart|Don't stay away from me anymore."I stop myself, just barely, from telling him I won't. I can't promise that. Can't
Hans Christian Andersen, The Complete Fairy Tales|Just living is not enough," said the butterfly, "one must have sunshine, freedom, and a little flower.
Ariel Levy|What peace it must be to know that someone is yours, no matter what - it is ordained, can never be otherwise.
Kevin Keenoo|When success seeps into every dimension of your life, small minds and big talkers grow so displeased and powerless that they often resort to cheap acts; but little do they know that kingdoms can be conquered, not kings.
Debasish Mridha|You may be born thousands of years from today, but I really love and care about you. You are my kin and my reflection. Through my writings I want to change humanity for the better so that you can live and enjoy a better life. That is my purpose in life.
Henry Miller, Tropic of Cancer|Unni will come, if not today, then tomorrow. Today is nearly gone, but other todays stir fecund in the word tomorrow, many other todays when this one has lapsed from existence. And because I think of Unni, invoking his name in this for ever recurrent today, already he is here for me." - The Mountain is Young
Mehmet Murat ildan|If you are completely surrounded by the enemies, this proves that you are damn stupid in matters of making friends and such a stupidity, such a miserable clumsiness is your biggest enemy!
David Foster Wallace, The Pale King|It's funny how when you're little, you miss all the little lies. They float right past you, but you don't wonder about them much. For a long time, you think this is just something adults still do after being kids - pretend. Then one day you wake up and realize most of the world you're in is built on someone's make-believe.
Khaled Hosseini, A Thousand Splendid Suns|She wished she could visit Mariam's grave, to sit with her awhile, leave a flower or two. But she sees now that it doesn't matter. Mariam is never very far.... Mariam is in her own heart, where she shines with the bursting radiance of a thousand suns.
Daniel J. Rice, This Side of a Wilderness|Sometimes I feel like I’m losing my mind,” she said with a hintof sadness.“You lost your mind a long time ago,” he said seriously. She looked at him with indignation. “That’s a compliment for anyone who knows the freedom and clarity of losing their mind,” he reaffirmed her.
Moon Unit Zappa|Around age 40 I put on twenty pounds. I had always had a perfect metabolism. But, my metabolism betrayed me as it does most people, except a very rare few who will always be thin.
John Kuypers, The Non Judgmental Christian: Five Lessons That Will Revolutionize Your Relationships|I got you a present.""Did you?""It's a book of poetry--romancy stuff. I thought, 'How schmaltzy is that,' so it seemed like the thing. Then I screwed up and left it in my desk at work
Radhika Mukherjee, Broken Shadows|In Ruin City, in the rain, the sound of melancholy is a buzzing maelstrom of quiet desperation. The shatter has been so great, there is no sound left to despair.
Fred Seibert|I can't wait for my little sisters to start dating, because it will really be fun to pick on their boyfriends.
George Saunders|evolution is not progress, that there is no ‘goal’ or direction to evolution. Evolution is change. Evolution ‘succeeds’ if that change best adapts some leaf or branch of its tree of life to conditions of the universe.
Lailah Gifty Akita, Think Great: Be Great!|I have hope, therefore, I am happy
Michael  Rogers, Tales Of|You showed me that even the smallest of people can have the loudest of words.” (Rachael Taylor, 2018).
Robert A. Caro, Master of the Senate|After having been standing by the gate of the garden for a long time, Siddhartha realised that his desire was foolish, which had made him go up to this place, that he could not help his son, that he was not allowed to cling him. Deeply, he felt the love for the run-away in his heart, like a wound, and he felt at the same time that this wound had not been given to him in order to turn the knife in it, that it had to become a blossom and had to shine.
